date,fixing_i_price,fixing_i_volume,fixing_ii_price,fixing_ii_volume
01.01.2016 00:00,108.27,2565.10,108.55,89.10
01.01.2016 01:00,94.74,2869.70,95.00,80.60
01.01.2016 02:00,85.05,3059.80,82.90,135.30
01.01.2016 03:00,79.35,3116.20,81.57,104.80
01.01.2016 04:00,75.17,3169.90,82.46,327.40
01.01.2016 05:00,79.50,3035.50,81.57,113.00
01.01.2016 06:00,82.96,2767.20,86.15,122.30
01.01.2016 07:00,98.12,2726.40,122.24,100.00
01.01.2016 08:00,105.43,2483.50,130.22,100.00
01.01.2016 09:00,120.09,1976.50,145.17,300.00
01.01.2016 10:00,134.99,1959.50,146.82,410.10
01.01.2016 11:00,137.05,1920.50,145.83,600.00
01.01.2016 12:00,138.50,1935.40,144.76,600.00
01.01.2016 13:00,142.25,2025.00,147.89,600.00
01.01.2016 14:00,141.28,1988.80,144.46,600.00
01.01.2016 15:00,142.24,2027.60,142.31,600.00
01.01.2016 16:00,147.92,2285.20,154.42,600.00
01.01.2016 17:00,145.02,2321.80,145.23,600.00
01.01.2016 18:00,145.63,2151.20,145.66,600.00
01.01.2016 19:00,145.02,2143.90,145.23,600.00
01.01.2016 20:00,142.28,2177.30,147.29,600.00
01.01.2016 21:00,134.39,2164.70,129.13,600.00
01.01.2016 22:00,119.72,2253.20,125.36,458.10
01.01.2016 23:00,105.68,2733.00,115.15,266.10
02.01.2016 00:00,94.74,2869.70,95.00,80.60
02.01.2016 01:00,85.05,3059.80,82.90,135.30
02.01.2016 02:00,79.35,3116.20,81.57,104.80
02.01.2016 03:00,75.17,3169.90,82.46,327.40
02.01.2016 04:00,79.50,3035.50,81.57,113.00
02.01.2016 05:00,82.96,2767.20,86.15,122.30
02.01.2016 06:00,98.12,2726.40,122.24,100.00
02.01.2016 07:00,105.43,2483.50,130.22,100.00
02.01.2016 08:00,120.09,1976.50,145.17,300.00
02.01.2016 09:00,134.99,1959.50,146.82,410.10
02.01.2016 10:00,137.05,1920.50,145.83,600.00
02.01.2016 11:00,138.50,1935.40,144.76,600.00
02.01.2016 12:00,142.25,2025.00,147.89,600.00
02.01.2016 13:00,141.28,1988.80,144.46,600.00
02.01.2016 14:00,142.24,2027.60,142.31,600.00
02.01.2016 15:00,147.92,2285.20,154.42,600.00
02.01.2016 16:00,145.02,2321.80,145.23,600.00
02.01.2016 17:00,145.63,2151.20,145.66,600.00
02.01.2016 18:00,145.02,2143.90,145.23,600.00
02.01.2016 19:00,142.28,2177.30,147.29,600.00
02.01.2016 20:00,134.39,2164.70,129.13,600.00
02.01.2016 21:00,119.72,2253.20,125.36,458.10
02.01.2016 22:00,105.68,2733.00,115.15,266.10
02.01.2016 23:00,106.60,2373.80,107.51,154.90
03.01.2016 00:00,81.96,2671.40,82.41,172.60
03.01.2016 01:00,76.44,2900.50,79.15,256.40
03.01.2016 02:00,75.32,2917.70,82.41,364.20
03.01.2016 03:00,76.04,2869.20,81.61,297.00
03.01.2016 04:00,79.79,2686.00,82.63,282.00
03.01.2016 05:00,83.00,2529.10,92.39,100.00
03.01.2016 06:00,106.07,2240.40,112.48,100.00
03.01.2016 07:00,109.99,1827.00,119.82,100.00
