date,indeks,price,volume
02.01.2016,tgegasda,72.07,64848.00
03.01.2016,tgegasda,70.97,111120.00
04.01.2016,tgegasda,72.21,158400.00
05.01.2016,tgegasda,73.73,216288.00
06.01.2016,tgegasda,74.75,196752.00
07.01.2016,tgegasda,74.85,176688.00
08.01.2016,tgegasda,74.24,155568.00
09.01.2016,tgegasda,73.25,49176.00
10.01.2016,tgegasda,73.95,23688.00
11.01.2016,tgegasda,76.68,89040.00
12.01.2016,tgegasda,76.73,83856.00
13.01.2016,tgegasda,76.32,82464.00
14.01.2016,tgegasda,73.93,89736.00
15.01.2016,tgegasda,72.90,90552.00
16.01.2016,tgegasda,71.17,8328.00
17.01.2016,tgegasda,72.98,18936.00
18.01.2016,tgegasda,73.86,94704.00
19.01.2016,tgegasda,72.22,133272.00
20.01.2016,tgegasda,72.57,116472.00
21.01.2016,tgegasda,68.76,121320.00
22.01.2016,tgegasda,68.54,138792.00
23.01.2016,tgegasda,69.24,33168.00
24.01.2016,tgegasda,69.51,21576.00
25.01.2016,tgegasda,70.54,78288.00
26.01.2016,tgegasda,69.04,64656.00
27.01.2016,tgegasda,66.02,38784.00
28.01.2016,tgegasda,66.77,31824.00
29.01.2016,tgegasda,67.66,32472.00
30.01.2016,tgegasda,61.39,5472.00
31.01.2016,tgegasda,62.04,4680.00
01.02.2016,tgegasda,63.93,34680.00
02.02.2016,tgegasda,63.49,47208.00
03.02.2016,tgegasda,62.12,48456.00
04.02.2016,tgegasda,63.58,57960.00
05.02.2016,tgegasda,63.53,75048.00
06.02.2016,tgegasda,62.99,6456.00
07.02.2016,tgegasda,60.27,4488.00
08.02.2016,tgegasda,64.27,37920.00
09.02.2016,tgegasda,62.49,42672.00
10.02.2016,tgegasda,63.68,41616.00
11.02.2016,tgegasda,62.15,42480.00
12.02.2016,tgegasda,63.83,57168.00
13.02.2016,tgegasda,64.40,10296.00
14.02.2016,tgegasda,62.17,5688.00
15.02.2016,tgegasda,66.62,20376.00
16.02.2016,tgegasda,64.67,40584.00
17.02.2016,tgegasda,65.98,34512.00
18.02.2016,tgegasda,64.75,44328.00
19.02.2016,tgegasda,64.04,45552.00
20.02.2016,tgegasda,62.62,14232.00
21.02.2016,tgegasda,60.21,7584.00
22.02.2016,tgegasda,62.57,40848.00
23.02.2016,tgegasda,62.97,53592.00
24.02.2016,tgegasda,63.50,43776.00
25.02.2016,tgegasda,62.41,76920.00
26.02.2016,tgegasda,60.86,79512.00
27.02.2016,tgegasda,61.45,23400.00
28.02.2016,tgegasda,61.48,11184.00
29.02.2016,tgegasda,63.59,69288.00
01.03.2016,tgegasda,62.55,84888.00
02.03.2016,tgegasda,62.36,83448.00
03.03.2016,tgegasda,62.49,77592.00
04.03.2016,tgegasda,61.65,59040.00
05.03.2016,tgegasda,60.85,7608.00
06.03.2016,tgegasda,61.75,4824.00
07.03.2016,tgegasda,63.11,37008.00
08.03.2016,tgegasda,60.74,69672.00
09.03.2016,tgegasda,60.87,56232.00
10.03.2016,tgegasda,60.55,52944.00
11.03.2016,tgegasda,60.31,41040.00
12.03.2016,tgegasda,59.47,5088.00
13.03.2016,tgegasda,61.29,16512.00
14.03.2016,tgegasda,62.25,55536.00
15.03.2016,tgegasda,61.91,64704.00
16.03.2016,tgegasda,60.57,73872.00
17.03.2016,tgegasda,61.30,75288.00
18.03.2016,tgegasda,60.46,52632.00
19.03.2016,tgegasda,59.89,9864.00
20.03.2016,tgegasda,59.91,5424.00
21.03.2016,tgegasda,60.99,56712.00
22.03.2016,tgegasda,59.41,78672.00
23.03.2016,tgegasda,58.34,73992.00
24.03.2016,tgegasda,58.01,74952.00
25.03.2016,tgegasda,58.21,53832.00
26.03.2016,tgegasda,57.33,9775.00
27.03.2016,tgegasda,52.46,18528.00
28.03.2016,tgegasda,52.82,47640.00
29.03.2016,tgegasda,56.57,41952.00
30.03.2016,tgegasda,57.09,43032.00
31.03.2016,tgegasda,56.34,29712.00
