index,Min. price [PLN/MWh],Max. price [PLN/MWh],Last price [PLN/MWh],Volume [MWh],index_utc
2020-08-28 00:00:00,150.02,167.67,167.67,800.0,
2020-08-28 01:00:00,132.37,172.52,132.37,900.0,
2020-08-28 02:00:00,119.31,172.52,121.91,900.0,
2020-08-28 03:00:00,131.49,211.8,147.99,782.0,
2020-08-28 04:00:00,136.12,217.75,147.99,665.0,
2020-08-28 05:00:00,167.19,220.62,172.13,927.7,
2020-08-28 06:00:00,249.52,251.55,251.51,435.2,
2020-08-28 07:00:00,220.62,229.44,220.62,36.1,
2020-08-28 08:00:00,247.09,248.86,247.09,60.8,
2020-08-28 09:00:00,252.43,261.61,252.43,7.7,
2020-08-28 10:00:00,238.27,238.27,238.27,2.8,
2020-08-28 11:00:00,198.56,255.92,198.56,61.6,
2020-08-28 12:00:00,198.56,216.34,205.18,206.4,
2020-08-28 13:00:00,194.15,222.83,205.18,572.7,
2020-08-28 14:00:00,156.73,198.56,194.15,860.8,
2020-08-28 15:00:00,168.2,209.59,209.59,860.1,
2020-08-28 16:00:00,185.32,216.21,185.32,445.7,
2020-08-28 17:00:00,207.38,220.62,212.32,355.9,
2020-08-28 18:00:00,195.03,212.63,198.6,95.6,
2020-08-28 19:00:00,209.63,243.65,229.0,119.1,
2020-08-28 20:00:00,189.73,189.73,189.73,16.0,
2020-08-28 21:00:00,194.15,194.15,194.15,20.0,
2020-08-28 22:00:00,185.32,207.38,185.32,120.1,
2020-08-28 23:00:00,160.17,185.32,180.91,685.0,
2020-08-29 00:00:00,173.97,220.22,173.97,1031.0,
2020-08-29 01:00:00,148.82,207.0,159.39,850.0,
2020-08-29 02:00:00,151.02,203.48,172.21,1100.0,
2020-08-29 03:00:00,160.98,199.65,160.98,701.0,
2020-08-29 04:00:00,161.46,197.4,161.46,701.0,
2020-08-29 05:00:00,174.89,207.09,182.82,851.0,
2020-08-29 06:00:00,152.26,156.79,155.47,500.0,
2020-08-29 07:00:00,147.54,162.96,147.98,500.0,
2020-08-29 08:00:00,145.34,167.36,165.6,677.7,
2020-08-29 09:00:00,171.64,176.26,174.89,327.4,
2020-08-29 10:00:00,193.79,197.75,193.79,460.0,
2020-08-29 11:00:00,193.79,202.6,202.6,180.0,
2020-08-29 12:00:00,193.79,200.0,198.19,169.0,
2020-08-29 13:00:00,184.98,200.0,184.98,787.4,
2020-08-29 14:00:00,171.77,202.6,171.77,1015.9,
2020-08-29 15:00:00,162.52,202.6,162.52,957.9,
2020-08-29 16:00:00,198.19,202.6,198.19,504.3,
2020-08-29 17:00:00,158.95,202.6,166.92,475.3,
2020-08-29 18:00:00,183.22,202.6,185.07,281.8,
2020-08-29 19:00:00,189.38,205.24,189.38,228.5,
2020-08-29 20:00:00,189.91,264.3,193.83,310.5,
2020-08-29 21:00:00,193.79,200.44,194.76,216.8,
2020-08-29 22:00:00,180.58,201.06,180.58,410.0,
2020-08-29 23:00:00,,,,0.0,
2020-08-30 00:00:00,173.84,173.84,173.84,200.0,
2020-08-30 01:00:00,,,,0.0,
2020-08-30 02:00:00,,,,0.0,
2020-08-30 03:00:00,,,,0.0,
2020-08-30 04:00:00,,,,0.0,
2020-08-30 05:00:00,,,,0.0,
2020-08-30 06:00:00,,,,0.0,
2020-08-30 07:00:00,,,,0.0,
2020-08-30 08:00:00,,,,0.0,
2020-08-30 09:00:00,,,,0.0,
2020-08-30 10:00:00,140.28,140.28,140.28,300.0,
2020-08-30 11:00:00,138.3,157.67,157.67,500.0,
2020-08-30 12:00:00,139.44,153.14,153.14,726.0,
2020-08-30 13:00:00,138.74,147.19,140.41,691.0,
2020-08-30 14:00:00,137.19,154.86,137.68,691.0,
2020-08-30 15:00:00,132.13,149.79,149.79,721.0,
2020-08-30 16:00:00,132.66,154.19,154.15,769.0,
2020-08-30 17:00:00,157.5,162.65,162.65,414.0,
2020-08-30 18:00:00,158.6,193.79,193.79,225.0,
2020-08-30 19:00:00,175.91,175.91,175.91,100.0,
2020-08-30 20:00:00,174.23,220.22,220.22,150.0,
2020-08-30 21:00:00,154.15,174.19,154.15,100.0,
2020-08-30 22:00:00,162.96,174.63,162.96,100.0,
2020-08-30 23:00:00,,,,0.0,
2020-08-31 00:00:00,,,,0.0,
2020-08-31 01:00:00,162.96,215.81,162.96,194.0,
2020-08-31 02:00:00,156.35,193.79,156.35,192.0,
2020-08-31 03:00:00,,,,0.0,
2020-08-31 04:00:00,,,,0.0,
2020-08-31 05:00:00,,,,0.0,
2020-08-31 06:00:00,221.1,254.35,221.1,150.0,
2020-08-31 07:00:00,242.24,310.72,242.24,140.0,
2020-08-31 08:00:00,256.77,352.61,256.77,459.2,
2020-08-31 09:00:00,269.1,325.13,269.1,421.7,
2020-08-31 10:00:00,306.54,325.13,308.3,46.1,
2020-08-31 11:00:00,281.88,312.62,281.88,150.8,
2020-08-31 12:00:00,286.68,310.5,310.5,115.4,
2020-08-31 13:00:00,268.88,297.29,275.27,208.7,
2020-08-31 14:00:00,251.93,285.4,251.93,115.4,
