"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","Without sequence","0.1","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","Without sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","Without sequence","0.02","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","Without sequence","0.0","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|CZ","Without sequence","-0.01","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|CZ","Without sequence","-0.01","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|CZ","Without sequence","0.0","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|CZ","Without sequence","0.0","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|CZ","Without sequence","0.0","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|CZ","Without sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|CZ","Without sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|CZ","Without sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|CZ","Without sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|CZ","Without sequence","2.53","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|CZ","Without sequence","4.89","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|CZ","Without sequence","24.04","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|CZ","Without sequence","49.26","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|CZ","Without sequence","57.21","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|CZ","Without sequence","59.85","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|CZ","Without sequence","54.76","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|CZ","Without sequence","48.41","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|CZ","Without sequence","42.27","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|CZ","Without sequence","46.32","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|CZ","Without sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|CZ","Without sequence","30.07","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|CZ","Without sequence","19.89","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|CZ","Without sequence","29.6","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|CZ","Without sequence","17.54","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|CZ","Without sequence","10.55","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|CZ","Without sequence","28.22","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|CZ","Without sequence","47.13","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|CZ","Without sequence","65.43","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|CZ","Without sequence","71.3","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|CZ","Without sequence","70.16","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|CZ","Without sequence","71.77","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|CZ","Without sequence","75.33","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|CZ","Without sequence","79.71","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|CZ","Without sequence","80.61","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|CZ","Without sequence","82.18","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|CZ","Without sequence","83.04","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|CZ","Without sequence","85.91","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|CZ","Without sequence","84.07","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|CZ","Without sequence","78.11","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|CZ","Without sequence","68.82","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|CZ","Without sequence","58.56","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|CZ","Without sequence","47.61","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|CZ","Without sequence","40.62","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|CZ","Without sequence","17.77","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|CZ","Without sequence","11.81","",""
