"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","Without sequence","20.26","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","Without sequence","0.33","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","Without sequence","0.5","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","Without sequence","0.5","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","Without sequence","0.1","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","Without sequence","0.72","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SK","Without sequence","-2.45","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|SK","Without sequence","0.04","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|SK","Without sequence","0.48","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|SK","Without sequence","1.19","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|SK","Without sequence","1.91","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|SK","Without sequence","2.74","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|SK","Without sequence","2.79","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|SK","Without sequence","2.76","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|SK","Without sequence","9.96","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|SK","Without sequence","23.87","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|SK","Without sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|SK","Without sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|SK","Without sequence","53.68","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|SK","Without sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|SK","Without sequence","49.11","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|SK","Without sequence","44.43","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|SK","Without sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|SK","Without sequence","35.0","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|SK","Without sequence","65.21","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|SK","Without sequence","57.98","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|SK","Without sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|SK","Without sequence","44.59","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|SK","Without sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|SK","Without sequence","72.11","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|SK","Without sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|SK","Without sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|SK","Without sequence","146.51","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|SK","Without sequence","148.09","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|SK","Without sequence","145.61","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|SK","Without sequence","143.35","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|SK","Without sequence","144.38","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|SK","Without sequence","143.76","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|SK","Without sequence","148.2","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|SK","Without sequence","155.34","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|SK","Without sequence","163.13","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|SK","Without sequence","170.55","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|SK","Without sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|SK","Without sequence","164.64","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|SK","Without sequence","153.0","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|SK","Without sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|SK","Without sequence","134.91","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|SK","Without sequence","124.22","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|SK","Without sequence","130.01","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|SK","Without sequence","120.0","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|SK","Without sequence","118.76","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|SK","Without sequence","115.0","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|SK","Without sequence","113.63","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|SK","Without sequence","116.27","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|SK","Without sequence","138.92","",""
