Doba handlowa;OREB;Czechy Eksport [MW];Czechy Import [MW];Słowacja Eksport [MW];Słowacja Import [MW];Niemcy Eksport [MW];Niemcy Import [MW];Szwecja Eksport [MW];Szwecja Import [MW];Ukraina Eksport [MW];Ukraina Import [MW];Litwa Eksport [MW];Litwa Import [MW];Data publikacji
"2024-06-14";"00:00 - 00:15";-448;117;-366.767;0;0;1398.9;0;593;-210.3;0;-506.4;0;"2025-01-30 15:27"
"2024-06-14";"00:15 - 00:30";-471.2;131.2;-342.87;0;0;1398.8;0;593.1;-205.8;0;-506.5;0;"2025-01-30 15:27"
"2024-06-14";"00:30 - 00:45";-436.1;141.8;-301.31;0;0;1370.6;0;593.3;-187.3;0;-506.2;0;"2025-01-30 15:27"
"2024-06-14";"00:45 - 01:00";-494.3;138.4;-348.065;0;0;1501.2;0;592.9;-228;0;-506.3;0;"2025-01-30 15:27"
"2024-06-14";"01:00 - 01:15";-506.7;149.3;-243.126;0;0;1133;0;593.7;-175.9;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"01:15 - 01:30";-484.1;159.5;-177.669;0;0;1236.3;0;592.9;-95.4;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"01:30 - 01:45";-499.1;153.3;-211.956;0;0;1178.7;0;593;-131.6;0;-507.8;0;"2025-01-30 15:27"
"2024-06-14";"01:45 - 02:00";-474.6;148.2;-232.736;0;0;1255.7;0;592.9;-145.6;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"02:00 - 02:15";-318.8;300.8;-50.911;0;0;1717.7;0;592.9;-94.7;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"02:15 - 02:30";-349.1;245.9;-119.485;0;0;1768.3;0;593.4;-136.2;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"02:30 - 02:45";-358.7;230.4;-125.719;0;0;1906.3;0;593.6;-142;0;-507.8;0;"2025-01-30 15:27"
"2024-06-14";"02:45 - 03:00";-348.4;256.1;-161.045;0;0;1790.3;0;593.1;-195.1;0;-507.9;0;"2025-01-30 15:27"
"2024-06-14";"03:00 - 03:15";-308.3;336.3;-117.407;0;0;1726.6;0;593.1;-186.6;0;-500.5;0;"2025-01-30 15:27"
"2024-06-14";"03:15 - 03:30";-334.2;269.4;-157.928;0;0;1723.2;0;593.1;-190.9;0;-500.6;0;"2025-01-30 15:27"
"2024-06-14";"03:30 - 03:45";-334.9;298.7;-122.602;0;0;1664;0;593;-177.5;0;-500.4;0;"2025-01-30 15:27"
"2024-06-14";"03:45 - 04:00";-352.9;239.2;-168.318;0;0;1629.5;0;592.9;-171.1;0;-420.2;0;"2025-01-30 15:27"
"2024-06-14";"04:00 - 04:15";-456.6;181.9;-258.711;0;0;1505.5;0;592.8;-256.8;0;-419.8;0;"2025-01-30 15:27"
"2024-06-14";"04:15 - 04:30";-409.2;198.4;-198.449;0;0;1547.8;0;592.8;-213.9;0;-419.9;0;"2025-01-30 15:27"
"2024-06-14";"04:30 - 04:45";-371.2;202.9;-170.396;0;0;1616.2;0;593.3;-193.7;0;-419.8;0;"2025-01-30 15:27"
"2024-06-14";"04:45 - 05:00";-346.1;258.1;-117.407;0;0;1560.3;0;593.3;-192;0;-507.8;0;"2025-01-30 15:27"
"2024-06-14";"05:00 - 05:15";-342.7;332.5;-116.368;0;0;1871;0;594.1;-225.8;0;-506.6;0;"2025-01-30 15:27"
"2024-06-14";"05:15 - 05:30";-345.2;317.8;-168.318;0;0;1848.1;0;593.5;-230.7;0;-506.6;0;"2025-01-30 15:27"
"2024-06-14";"05:30 - 05:45";-377.6;220.7;-219.229;0;0;1612.6;0;593.5;-236.3;0;-506.3;0;"2025-01-30 15:27"
"2024-06-14";"05:45 - 06:00";-376.5;237;-174.552;0;0;1522.3;0;593.5;-199.4;0;-506.2;0;"2025-01-30 15:27"
"2024-06-14";"06:00 - 06:15";-397.7;199;-211.956;0;0;1404;0;593.5;-216.5;0;-506.6;0;"2025-01-30 15:27"
"2024-06-14";"06:15 - 06:30";-384.6;183.6;-190.137;0;0;1355;0;593.5;-186.2;0;-506.6;0;"2025-01-30 15:27"
"2024-06-14";"06:30 - 06:45";-346.1;209.9;-139.226;0;0;1323.4;0;593.5;-169.8;0;-506.7;0;"2025-01-30 15:27"
