Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20170201;1;18500;18380,350
20170201;2;18000;17843,938
20170201;3;17700;17421,913
20170201;4;17900;17456,175
20170201;5;18400;17819,863
20170201;6;19600;18636,475
20170201;7;22500;21119,800
20170201;8;23500;22831,750
20170201;9;24400;23872,788
20170201;10;24500;24303,175
20170201;11;24500;24192,125
20170201;12;24500;24415,863
20170201;13;24500;24466,163
20170201;14;24700;24513,188
20170201;15;24200;24127,013
20170201;16;23650;23631,838
20170201;17;25100;23974,800
20170201;18;25200;24932,400
20170201;19;24900;24740,525
20170201;20;24800;24650,525
20170201;21;24100;23875,675
20170201;22;22700;22381,775
20170201;23;21000;20777,888
20170201;24;19500;19468,375
20170202;1;18500;18477,788
20170202;2;17900;17763,238
20170202;3;17500;17491,613
20170202;4;17600;17481,613
20170202;5;18100;17727,925
20170202;6;19500;18424,100
20170202;7;22500;20939,813
20170202;8;23500;22657,450
20170202;9;24100;23666,213
20170202;10;24300;24078,350
20170202;11;24400;23948,738
20170202;12;24500;24183,925
20170202;13;24600;24174,938
20170202;14;24700;24312,063
20170202;15;24200;23877,700
20170202;16;23800;23643,413
20170202;17;25000;23904,650
20170202;18;25200;24683,513
20170202;19;24900;24390,100
20170202;20;24900;24307,800
20170202;21;24100;23681,875
20170202;22;22600;22101,050
20170202;23;20900;20639,088
20170202;24;19500;19228,938
20170203;1;18400;18294,225
20170203;2;17700;17639,013
20170203;3;17300;17357,213
20170203;4;17400;17304,900
20170203;5;17900;17530,688
20170203;6;19400;18323,463
20170203;7;22200;20850,350
20170203;8;23300;22385,350
20170203;9;24100;23370,600
20170203;10;24300;23991,238
20170203;11;24300;24048,138
20170203;12;24400;24299,813
20170203;13;24500;24274,388
20170203;14;24500;24354,875
20170203;15;24100;23839,350
20170203;16;23600;23446,375
20170203;17;25000;23736,000
20170203;18;25200;24521,575
20170203;19;24900;24316,050
20170203;20;24800;24074,425
20170203;21;24000;23263,875
20170203;22;22500;21777,888
20170203;23;21000;20273,300
20170203;24;19600;19054,563
20170204;1;18200;18058,550
20170204;2;17600;17373,088
20170204;3;17300;16936,675
20170204;4;17200;16800,338
20170204;5;17100;16809,250
20170204;6;17500;16994,625
20170204;7;18800;17987,250
20170204;8;19500;18610,938
20170204;9;20700;19905,300
20170204;10;21400;20925,475
20170204;11;21700;21405,850
20170204;12;21700;21663,713
20170204;13;21600;21477,888
20170204;14;21600;21469,138
20170204;15;20800;20919,863
20170204;16;20800;20460,688
20170204;17;21900;20812,025
20170204;18;22100;21706,188
20170204;19;22100;21583,150
20170204;20;21700;21305,463
20170204;21;21100;20771,725
20170204;22;19800;19656,675
20170204;23;18700;18558,463
20170204;24;17500;17458,288
20170205;1;16600;16562,038
20170205;2;16000;15852,238
20170205;3;15700;15426,325
20170205;4;15500;15218,488
20170205;5;15600;15228,400
20170205;6;15800;15327,375
20170205;7;16300;15804,588
20170205;8;16700;16023,913
20170205;9;17700;17033,550
20170205;10;18600;18012,963
20170205;11;18900;18666,263
20170205;12;19000;19050,375
20170205;13;19200;19166,163
20170205;14;19100;19409,175
20170205;15;18700;19020,313
20170205;16;18500;18629,575
20170205;17;19900;18943,275
20170205;18;20500;20251,850
20170205;19;20700;20403,688
20170205;20;20700;20466,788
20170205;21;20200;19883,050
20170205;22;19200;19060,313
20170205;23;18400;17992,788
20170205;24;17200;17068,875
20170206;1;16400;16285,313
20170206;2;15900;15953,613
20170206;3;15800;15703,300
20170206;4;16000;15705,225
20170206;5;16600;16112,775
20170206;6;18550;17102,463
20170206;7;21800;20094,000
20170206;8;23000;22015,388
20170206;9;24050;23292,925
20170206;10;24250;23938,325
20170206;11;24350;24070,725
20170206;12;24450;24384,575
20170206;13;24650;24408,125
20170206;14;24700;24610,825
20170206;15;24100;24233,150
20170206;16;23650;23833,288
20170206;17;25000;23961,988
20170206;18;25250;24748,050
20170206;19;25000;24622,700
20170206;20;24900;24501,150
20170206;21;23950;23802,800
20170206;22;22450;22353,188
20170206;23;20850;20717,038
20170206;24;19500;19351,375
20170207;1;18450;18271,925
20170207;2;17850;17760,638
20170207;3;17650;17469,150
20170207;4;17850;17522,088
20170207;5;18250;17844,563
20170207;6;19650;18594,375
20170207;7;22600;21128,238
20170207;8;23650;22904,638
20170207;9;24450;24032,850
20170207;10;24600;24452,913
20170207;11;24650;24534,113
20170207;12;24700;24666,800
20170207;13;24850;24817,350
20170207;14;24950;24999,175
20170207;15;24450;24587,588
20170207;16;23800;24160,850
20170207;17;25100;24287,400
20170207;18;25450;25143,700
20170207;19;25050;25039,950
20170207;20;24950;24861,888
20170207;21;24050;24247,450
20170207;22;22600;22774,825
20170207;23;21000;21245,175
20170207;24;19700;19895,538
20170208;1;18600;18800,138
20170208;2;18100;18149,775
20170208;3;17800;17857,863
20170208;4;17900;17849,725
20170208;5;18300;18197,313
20170208;6;19700;18958,488
20170208;7;22550;21391,750
20170208;8;23650;23173,300
20170208;9;24450;24276,013
20170208;10;24650;24907,788
20170208;11;24750;24785,075
20170208;12;24800;25100,975
20170208;13;24950;25155,675
20170208;14;25050;25305,975
20170208;15;24600;24773,750
20170208;16;24100;24381,250
20170208;17;24900;24415,300
20170208;18;25550;25544,763
20170208;19;25250;25473,538
20170208;20;25150;25239,325
20170208;21;24200;24477,463
20170208;22;22800;23011,713
20170208;23;21200;21611,363
20170208;24;19900;20280,600
20170209;1;18900;19196,763
20170209;2;18300;18504,250
20170209;3;18000;18219,250
20170209;4;18100;18281,038
20170209;5;18500;18528,225
20170209;6;19900;19285,900
20170209;7;22950;21763,050
20170209;8;24050;23473,400
20170209;9;24950;24539,813
20170209;10;24950;25022,900
20170209;11;25150;25002,575
20170209;12;25200;25279,563
20170209;13;25550;25212,125
20170209;14;25550;25261,725
20170209;15;25100;24772,988
20170209;16;24600;24358,550
20170209;17;25400;24409,313
20170209;18;25850;25387,263
20170209;19;25650;25284,875
20170209;20;25450;25080,638
20170209;21;24500;24376,513
20170209;22;23100;22845,250
20170209;23;21400;21494,000
20170209;24;20100;20096,213
20170210;1;18800;19003,050
20170210;2;18200;18456,838
20170210;3;17900;18097,525
20170210;4;18100;18037,138
20170210;5;18500;18389,313
20170210;6;20000;19109,038
20170210;7;22850;21455,013
20170210;8;24050;22976,513
20170210;9;25050;24026,588
20170210;10;25200;24388,863
20170210;11;25150;24407,675
20170210;12;25200;24495,100
20170210;13;25450;24371,725
20170210;14;25450;24299,288
20170210;15;24900;23749,213
20170210;16;24400;23296,775
20170210;17;25000;23317,463
20170210;18;25650;24793,813
20170210;19;25450;24674,238
20170210;20;25250;24477,738
20170210;21;24500;23766,450
20170210;22;23100;22251,125
20170210;23;21400;20893,363
20170210;24;20100;19678,200
20170211;1;18300;18576,925
20170211;2;17500;17983,250
20170211;3;17200;17661,550
20170211;4;17100;17483,963
20170211;5;17100;17595,688
20170211;6;17500;17784,813
20170211;7;18700;18488,625
20170211;8;19400;19209,238
20170211;9;20700;20623,763
20170211;10;21300;21561,988
20170211;11;21700;21909,913
20170211;12;21700;22041,313
20170211;13;21600;21727,475
20170211;14;21600;21545,363
20170211;15;20800;20888,738
20170211;16;20600;20506,463
20170211;17;21700;20751,175
20170211;18;22000;22145,063
20170211;19;21800;22211,025
20170211;20;21500;21911,700
20170211;21;21000;21422,675
20170211;22;19700;20222,313
20170211;23;18700;19223,525
20170211;24;17500;18061,200
20170212;1;16500;16972,100
20170212;2;15800;16374,350
20170212;3;15500;16065,838
20170212;4;15300;15981,063
20170212;5;15400;15942,538
20170212;6;15500;16053,463
20170212;7;15900;16259,025
20170212;8;16500;16613,950
20170212;9;17500;17583,875
20170212;10;18400;18500,200
20170212;11;18700;19216,613
20170212;12;18800;19398,425
20170212;13;18900;19507,563
20170212;14;18900;19706,750
20170212;15;18400;19255,313
20170212;16;18200;18826,738
20170212;17;19400;18957,275
20170212;18;20400;20496,900
20170212;19;20500;21031,863
20170212;20;20600;21055,288
20170212;21;20100;20492,338
20170212;22;19100;19544,013
20170212;23;18200;18767,313
