Doba handlowa;OREB [Jednostka czasu od-do];Prognozowane zapotrzebowanie KSE [MW];Rzeczywiste zapotrzebowanie KSE [MW];Data publikacji
"2024-06-14";"00:00 - 00:15";15700;16296.632;"2025-01-30 15:15"
"2024-06-14";"00:15 - 00:30";15400;15965.375;"2025-01-30 15:15"
"2024-06-14";"00:30 - 00:45";15100;15773.818;"2025-01-30 15:15"
"2024-06-14";"00:45 - 01:00";14850;15696.878;"2025-01-30 15:15"
"2024-06-14";"01:00 - 01:15";14650;15607.538;"2025-01-30 15:15"
"2024-06-14";"01:15 - 01:30";14500;15486.252;"2025-01-30 15:15"
"2024-06-14";"01:30 - 01:45";14400;15249.491;"2025-01-30 15:15"
"2024-06-14";"01:45 - 02:00";14250;15030.259;"2025-01-30 15:15"
"2024-06-14";"02:00 - 02:15";14200;15185.268;"2025-01-30 15:15"
"2024-06-14";"02:15 - 02:30";14200;15092.548;"2025-01-30 15:15"
"2024-06-14";"02:30 - 02:45";14200;15129.279;"2025-01-30 15:15"
"2024-06-14";"02:45 - 03:00";14200;15077.702;"2025-01-30 15:15"
"2024-06-14";"03:00 - 03:15";14200;15086.231;"2025-01-30 15:15"
"2024-06-14";"03:15 - 03:30";14200;14939.195;"2025-01-30 15:15"
"2024-06-14";"03:30 - 03:45";14200;15008.108;"2025-01-30 15:15"
"2024-06-14";"03:45 - 04:00";14200;14936.46;"2025-01-30 15:15"
"2024-06-14";"04:00 - 04:15";14200;14606.99;"2025-01-30 15:15"
"2024-06-14";"04:15 - 04:30";14200;14829.338;"2025-01-30 15:15"
"2024-06-14";"04:30 - 04:45";14200;14960.381;"2025-01-30 15:15"
"2024-06-14";"04:45 - 05:00";14200;15032.576;"2025-01-30 15:15"
"2024-06-14";"05:00 - 05:15";14450;15317.383;"2025-01-30 15:15"
"2024-06-14";"05:15 - 05:30";14600;15280.906;"2025-01-30 15:15"
"2024-06-14";"05:30 - 05:45";15100;15499.602;"2025-01-30 15:15"
"2024-06-14";"05:45 - 06:00";15750;16179.918;"2025-01-30 15:15"
"2024-06-14";"06:00 - 06:15";16750;17240.57;"2025-01-30 15:15"
"2024-06-14";"06:15 - 06:30";17350;17746.568;"2025-01-30 15:15"
"2024-06-14";"06:30 - 06:45";17900;18150.08;"2025-01-30 15:15"
"2024-06-14";"06:45 - 07:00";18450;18782.498;"2025-01-30 15:15"
"2024-06-14";"07:00 - 07:15";18950;19172.092;"2025-01-30 15:15"
"2024-06-14";"07:15 - 07:30";19200;19466.145;"2025-01-30 15:15"
"2024-06-14";"07:30 - 07:45";19450;19753.72;"2025-01-30 15:15"
"2024-06-14";"07:45 - 08:00";19650;19878.758;"2025-01-30 15:15"
"2024-06-14";"08:00 - 08:15";19750;19950.2;"2025-01-30 15:15"
"2024-06-14";"08:15 - 08:30";19900;20206.652;"2025-01-30 15:15"
"2024-06-14";"08:30 - 08:45";20000;20057.547;"2025-01-30 15:15"
"2024-06-14";"08:45 - 09:00";20000;20092.39;"2025-01-30 15:15"
"2024-06-14";"09:00 - 09:15";20000;19917.592;"2025-01-30 15:15"
"2024-06-14";"09:15 - 09:30";20000;20110.475;"2025-01-30 15:15"
"2024-06-14";"09:30 - 09:45";19900;19765.537;"2025-01-30 15:15"
"2024-06-14";"09:45 - 10:00";19650;19373.97;"2025-01-30 15:15"
"2024-06-14";"10:00 - 10:15";19400;19151.988;"2025-01-30 15:15"
"2024-06-14";"10:15 - 10:30";19700;19426.205;"2025-01-30 15:15"
"2024-06-14";"10:30 - 10:45";19800;19259.318;"2025-01-30 15:15"
"2024-06-14";"10:45 - 11:00";19900;19340.63;"2025-01-30 15:15"
"2024-06-14";"11:00 - 11:15";20000;19228.445;"2025-01-30 15:15"
"2024-06-14";"11:15 - 11:30";20000;19277.223;"2025-01-30 15:15"
"2024-06-14";"11:30 - 11:45";20000;19640.979;"2025-01-30 15:15"
"2024-06-14";"11:45 - 12:00";20000;19357.773;"2025-01-30 15:15"
"2024-06-14";"12:00 - 12:15";18700;19436.312;"2025-01-30 15:15"
"2024-06-14";"12:15 - 12:30";18700;19821.266;"2025-01-30 15:15"
"2024-06-14";"12:30 - 12:45";18700;19904.197;"2025-01-30 15:15"
"2024-06-14";"12:45 - 13:00";18750;19693.059;"2025-01-30 15:15"
"2024-06-14";"13:00 - 13:15";18950;19847.453;"2025-01-30 15:15"
"2024-06-14";"13:15 - 13:30";18800;19804.617;"2025-01-30 15:15"
"2024-06-14";"13:30 - 13:45";18550;19542.22;"2025-01-30 15:15"
"2024-06-14";"13:45 - 14:00";18400;19075.809;"2025-01-30 15:15"
"2024-06-14";"14:00 - 14:15";18200;19454.46;"2025-01-30 15:15"
