date,Brent_USD
12/31/2024,74.58
12/30/2024,74.24
12/27/2024,73.77
12/24/2024,73.5
12/23/2024,72.12
12/20/2024,73.19
12/19/2024,73.75
12/18/2024,74.57
12/17/2024,73.16
12/16/2024,74.3
12/13/2024,74.89
12/12/2024,73.52
12/11/2024,74.38
12/10/2024,73.64
12/9/2024,73.73
12/6/2024,73.78
12/5/2024,73.78
12/4/2024,74.68
12/3/2024,74.8
12/2/2024,72.81
11/29/2024,74.16
11/28/2024,73.92
11/27/2024,73.91
11/26/2024,74.56
11/25/2024,74.27
11/22/2024,76.1
11/21/2024,75.09
11/20/2024,74.33
11/19/2024,74.32
11/18/2024,74.35
11/15/2024,73.45
11/14/2024,73.39
11/13/2024,72.86
11/12/2024,72.56
11/11/2024,72.19
11/8/2024,74.04
11/7/2024,75.73
11/6/2024,76.52
11/5/2024,76.98
11/4/2024,74.89
11/1/2024,73.63
10/31/2024,73.25
10/30/2024,73.21
10/29/2024,71.09
10/28/2024,71.87
10/25/2024,75.62
10/24/2024,74.27
10/23/2024,74.68
10/22/2024,75.59
10/21/2024,73.29
10/18/2024,72.75
10/17/2024,74.37
10/16/2024,73.65
10/15/2024,73.68
10/14/2024,78.47
10/11/2024,80.27
10/10/2024,79.45
10/9/2024,77.06
10/8/2024,78.19
10/7/2024,81.74
10/4/2024,79.32
10/3/2024,77.57
10/2/2024,74.86
10/1/2024,75.3
09/30/2024,72.35
09/27/2024,71.63
09/26/2024,73.06
09/25/2024,75.4
09/24/2024,75.29
09/23/2024,74.95
09/20/2024,75.96
09/19/2024,75.93
09/18/2024,74.52
09/17/2024,74.55
09/16/2024,73.96
09/13/2024,73.68
09/12/2024,73.81
09/11/2024,70.31
09/10/2024,70.34
09/9/2024,72.37
09/6/2024,72.82
09/5/2024,74.47
09/4/2024,74.67
09/3/2024,76.46
09/2/2024,77.82
08/30/2024,80.2
08/29/2024,81.55
08/28/2024,80.04
08/27/2024,81.51
08/23/2024,80.34
08/22/2024,78.8
08/21/2024,78.77
08/20/2024,78.85
08/19/2024,81.09
08/16/2024,81.56
08/15/2024,83.09
08/14/2024,82.15
08/13/2024,82.51
08/12/2024,83.06
08/9/2024,81.07
08/8/2024,80.76
08/7/2024,78.26
08/6/2024,76.62
08/5/2024,77.51
08/2/2024,78.35
08/1/2024,81.37
07/31/2024,81.39
07/30/2024,79.26
07/29/2024,80.94
07/26/2024,81.35
07/25/2024,82.58
07/24/2024,83.01
07/23/2024,82.2
07/22/2024,83.44
07/19/2024,85.19
07/18/2024,86.26
07/17/2024,85.76
07/16/2024,86.6
07/15/2024,86.42
07/12/2024,87.35
07/11/2024,86.49
07/10/2024,86.55
07/9/2024,86.48
07/8/2024,87.15
07/5/2024,88.66
07/4/2024,88.34
07/3/2024,88.25
07/2/2024,88.28
07/1/2024,86.57
06/28/2024,87.26
06/27/2024,87
06/26/2024,85.76
06/25/2024,86.81
06/24/2024,86.75
06/21/2024,86.42
06/20/2024,85.92
06/19/2024,85.64
06/18/2024,84.79
06/17/2024,82.45
06/14/2024,81.49
06/13/2024,81.44
06/12/2024,80.52
06/11/2024,80.15
06/10/2024,79.59
06/7/2024,78.12
06/6/2024,77.62
06/5/2024,75.41
06/4/2024,75.33
06/3/2024,76.45
05/31/2024,79.41
05/30/2024,81.42
05/29/2024,81.5
05/28/2024,81.34
05/24/2024,78.92
05/23/2024,79.25
05/22/2024,79.9
05/21/2024,81.22
05/20/2024,81.91
05/17/2024,82.24
05/16/2024,81.65
05/15/2024,79.98
05/14/2024,81
05/13/2024,83.18
05/10/2024,83.39
05/9/2024,83.27
05/8/2024,82.44
05/7/2024,82.69
05/3/2024,83.6
05/2/2024,84.81
05/1/2024,83.55
04/30/2024,88.23
04/29/2024,88.44
04/26/2024,89.95
04/25/2024,88.1
04/24/2024,89.02
