date,coal_pscmi1_pln_per_gj,coal_pscmi1_pln_per_t
01.01.2016,8.93,201.17
01.02.2016,8.79,192.97
01.03.2016,8.75,194.34
01.04.2016,8.88,195.00
01.05.2016,8.90,195.40
01.06.2016,8.81,193.54
01.07.2016,8.86,196.13
01.08.2016,8.52,188.78
01.09.2016,8.91,197.09
01.10.2016,8.57,189.71
01.11.2016,8.65,189.49
01.12.2016,8.61,190.49
01.01.2017,8.92,198.38
01.02.2017,8.93,198.60
01.03.2017,8.88,200.20
01.04.2017,8.84,199.26
01.05.2017,9.21,208.64
01.06.2017,9.30,208.45
01.07.2017,9.33,208.39
01.08.2017,9.22,200.76
01.09.2017,9.39,206.17
01.10.2017,9.45,208.75
01.11.2017,9.57,211.41
01.12.2017,9.64,212.66
01.01.2018,10.41,226.76
01.02.2018,10.48,228.22
01.03.2018,10.57,230.75
01.04.2018,10.79,238.22
01.05.2018,10.73,237.20
01.06.2018,10.90,239.42
01.07.2018,11.08,238.10
01.08.2018,11.43,248.44
01.09.2018,11.28,245.38
01.10.2018,11.28,243.44
01.11.2018,11.33,250.78
01.12.2018,11.10,241.76
01.01.2019,11.86,254.77
01.02.2019,11.89,255.97
01.03.2019,11.91,258.14
01.04.2019,12.11,260.91
01.05.2019,11.83,256.52
01.06.2019,11.96,263.75
01.07.2019,11.91,260.00
01.08.2019,11.91,258.89
01.09.2019,12.10,263.36
01.10.2019,12.17,266.03
01.11.2019,12.15,266.35
01.12.2019,12.13,265.23
01.01.2020,12.05,268.32
01.02.2020,11.95,261.84
01.03.2020,12.06,262.49
01.04.2020,11.90,263.94
01.05.2020,12.11,267.21
01.06.2020,12.09,267.39
01.07.2020,11.75,263.10
01.08.2020,11.75,263.94
01.09.2020,11.85,260.69
01.10.2020,11.99,262.06
01.11.2020,11.81,256.99
01.12.2020,11.73,254.80
01.01.2021,11.62,255.97
01.02.2021,11.53,253.82
01.03.2021,11.52,252.24
01.04.2021,11.39,247.43
01.05.2021,11.14,242.94
01.06.2021,11.44,249.69
01.07.2021,11.41,246.03
01.08.2021,11.55,248.52
01.09.2021,11.36,245.17
01.10.2021,11.34,246.37
01.11.2021,11.02,237.41
01.12.2021,11.68,253.47
01.01.2022,13.52,290.64
01.02.2022,13.65,294.10
01.03.2022,13.40,290.19
01.04.2022,13.61,300.90
01.05.2022,15.20,334.74
01.06.2022,16.15,345.80
01.07.2022,16.20,344.23
01.08.2022,30.36,641.36
01.09.2022,29.34,628.20
01.10.2022,25.82,545.13
01.11.2022,25.84,551.30
01.12.2022,25.14,535.13
01.01.2023,32.21,701.11
01.02.2023,31.89,690.74
01.03.2023,32.99,707.90
01.04.2023,33.21,705.49
01.05.2023,33.64,716.43
01.06.2023,34.18,738.61
01.07.2023,33.55,726.66
01.08.2023,33.19,703.15
01.09.2023,33.95,741.22
01.10.2023,31.94,691.25
01.11.2023,30.97,665.87
01.12.2023,28.51,618.90
01.01.2024,23.59,505.96
01.02.2024,22.63,485.45
01.03.2024,22.44,481.76
01.04.2024,23.76,512.62
01.05.2024,22.39,482.11
01.06.2024,21.88,479.98
01.07.2024,22.18,483.28
01.08.2024,22.13,478.86
01.09.2024,21.75,476.04
01.10.2024,21.88,477.49
01.11.2024,21.25,461.47
01.12.2024,20.79,458.29
