date,indeks,co2_price,volume
01.01.2016,t3pa,8.12,2818500.00
11.01.2016,t3pa,7.45,3425000.00
12.01.2016,t3pa,7.04,3425000.00
14.01.2016,t3pa,7.05,3425000.00
15.01.2016,t3pa,6.71,3495000.00
18.01.2016,t3pa,6.52,3425000.00
19.01.2016,t3pa,6.81,3425000.00
21.01.2016,t3pa,6.04,3425000.00
22.01.2016,t3pa,6.33,3495000.00
25.01.2016,t3pa,5.93,3425000.00
26.01.2016,t3pa,5.80,3425000.00
28.01.2016,t3pa,6.02,3425000.00
29.01.2016,t3pa,6.06,3495000.00
01.02.2016,t3pa,5.75,3425000.00
02.02.2016,t3pa,5.57,3425000.00
03.02.2016,t3pa,5.70,3526000.00
04.02.2016,t3pa,5.55,3425000.00
05.02.2016,t3pa,5.55,3495000.00
08.02.2016,t3pa,5.25,3425000.00
09.02.2016,t3pa,5.19,3425000.00
11.02.2016,t3pa,4.65,3425000.00
12.02.2016,t3pa,4.94,3495000.00
15.02.2016,t3pa,4.97,3425000.00
16.02.2016,t3pa,4.78,3425000.00
18.02.2016,t3pa,5.22,3425000.00
19.02.2016,t3pa,5.26,3495000.00
22.02.2016,t3pa,5.20,3425000.00
23.02.2016,t3pa,5.14,3425000.00
25.02.2016,t3pa,4.78,3425000.00
26.02.2016,t3pa,5.08,3495000.00
29.02.2016,t3pa,4.85,3425000.00
01.03.2016,t3pa,4.90,3425000.00
02.03.2016,t3pa,4.80,3526000.00
03.03.2016,t3pa,4.88,3425000.00
04.03.2016,t3pa,4.80,3495000.00
07.03.2016,t3pa,4.95,3425000.00
08.03.2016,t3pa,5.00,3425000.00
10.03.2016,t3pa,5.00,3425000.00
11.03.2016,t3pa,5.01,3495000.00
14.03.2016,t3pa,4.92,3425000.00
15.03.2016,t3pa,4.81,3425000.00
17.03.2016,t3pa,4.92,3425000.00
18.03.2016,t3pa,4.92,3495000.00
21.03.2016,t3pa,4.86,3425000.00
22.03.2016,t3pa,4.80,3425000.00
24.03.2016,t3pa,4.76,3425000.00
29.03.2016,t3pa,4.75,3425000.00
30.03.2016,t3pa,4.77,3526000.00
31.03.2016,t3pa,4.97,3425000.00
01.04.2016,t3pa,5.18,3495000.00
04.04.2016,t3pa,5.08,3425000.00
05.04.2016,t3pa,5.26,3425000.00
07.04.2016,t3pa,5.23,3425000.00
08.04.2016,t3pa,5.23,3495000.00
11.04.2016,t3pa,5.42,3425000.00
12.04.2016,t3pa,5.63,3425000.00
14.04.2016,t3pa,5.47,3425000.00
15.04.2016,t3pa,5.54,3495000.00
18.04.2016,t3pa,5.38,3425000.00
19.04.2016,t3pa,5.47,3425000.00
21.04.2016,t3pa,5.58,3425000.00
22.04.2016,t3pa,5.74,3495000.00
25.04.2016,t3pa,5.92,3425000.00
26.04.2016,t3pa,6.08,3425000.00
27.04.2016,t3pa,6.94,3526000.00
28.04.2016,t3pa,6.64,3425000.00
29.04.2016,t3pa,6.29,3495000.00
03.05.2016,t3pa,5.88,3425000.00
06.05.2016,t3pa,6.13,3495000.00
