date,pln_usd,pln_eur
2016-01-01, 3.90, 4.30
2016-01-04,3.9281,4.2935
2016-01-05,4.0073,4.3176
2016-01-07,4.0085,4.3475
2016-01-08,3.9963,4.3457
2016-01-11,4.0085,4.3635
2016-01-12,4.017,4.3621
2016-01-13,4.0068,4.3345
2016-01-14,3.999,4.3605
2016-01-15,4.0411,4.4075
2016-01-18,4.1133,4.4835
2016-01-19,4.0917,4.449
2016-01-20,4.0877,4.4659
2016-01-21,4.1303,4.4987
2016-01-22,4.1031,4.446
2016-01-25,4.1346,4.472
2016-01-26,4.1475,4.4961
2016-01-27,4.1144,4.473
2016-01-28,4.0872,4.4588
2016-01-29,4.0723,4.4405
2016-02-01,4.0638,4.4104
2016-02-02,4.0333,4.4015
2016-02-03,4.0325,4.4024
2016-02-04,3.9492,4.4078
2016-02-05,3.942,4.4135
2016-02-08,3.9525,4.4185
2016-02-09,3.9771,4.449
2016-02-10,3.9383,4.4366
2016-02-11,3.9219,4.4407
2016-02-12,3.9074,4.4136
2016-02-15,3.922,4.396
2016-02-16,3.9404,4.4042
2016-02-17,3.9431,4.3905
2016-02-18,3.9416,4.3902
2016-02-19,3.9531,4.383
2016-02-22,3.9391,4.3655
2016-02-23,3.9671,4.3655
2016-02-24,3.9803,4.372
2016-02-25,3.9705,4.3739
2016-02-26,3.9545,4.357
2016-02-29,3.9935,4.3589
2016-03-01,3.9924,4.3365
2016-03-02,3.9861,4.3333
2016-03-03,3.9805,4.325
2016-03-04,3.9545,4.334
2016-03-07,3.9515,4.3292
2016-03-08,3.9333,4.3325
2016-03-09,3.9395,4.3215
2016-03-10,3.932,4.3131
2016-03-11,3.8903,4.3226
2016-03-14,3.847,4.2813
2016-03-15,3.8649,4.2824
2016-03-16,3.8749,4.298
2016-03-17,3.8037,4.2989
2016-03-18,3.7882,4.2705
2016-03-21,3.7838,4.2603
2016-03-22,3.8005,4.259
2016-03-23,3.801,4.2533
2016-03-24,3.824,4.2715
2016-03-25,3.8174,4.263
2016-03-29,3.8037,4.2535
2016-03-30,3.7495,4.2445
2016-03-31,3.759,4.2684
2016-04-01,3.7193,4.2387
2016-04-04,3.7254,4.2355
2016-04-05,3.7337,4.2452
2016-04-06,3.751,4.2577
2016-04-07,3.7414,4.2601
2016-04-08,3.7701,4.293
2016-04-11,3.7587,4.2826
2016-04-12,3.749,4.2867
2016-04-13,3.7771,4.2827
2016-04-14,3.8174,4.3016
2016-04-15,3.8176,4.3
2016-04-18,3.801,4.2978
2016-04-19,3.7925,4.2977
2016-04-20,3.7842,4.3004
2016-04-21,3.7981,4.2885
2016-04-22,3.8399,4.3283
2016-04-25,3.8962,4.386
2016-04-26,3.8935,4.3978
2016-04-27,3.8793,4.3926
2016-04-28,3.8695,4.394
2016-04-29,3.8738,4.4078
2016-05-02,3.8195,4.3842
2016-05-04,3.83,4.3992
2016-05-05,3.8475,4.4003
2016-05-06,3.8732,4.4236
2016-05-09,3.873,4.4123
2016-05-10,3.8853,4.4275
2016-05-11,3.8855,4.4241
2016-05-12,3.8811,4.4275
2016-05-13,3.8775,4.4016
2016-05-16,3.8625,4.3727
2016-05-17,3.8508,4.361
2016-05-18,3.9005,4.3937
2016-05-19,3.9161,4.396
2016-05-20,3.9358,4.4163
2016-05-23,3.9513,4.4293
2016-05-24,3.9789,4.4482
2016-05-25,3.9684,4.4238
2016-05-27,3.9393,4.4063
2016-05-30,3.947,4.3945
2016-05-31,3.9369,4.382
2016-06-01,3.935,4.3895
2016-06-02,3.9204,4.3944
2016-06-03,3.9384,4.3913
2016-06-06,3.8602,4.3835
2016-06-07,3.8298,4.3533
2016-06-08,3.815,4.3377
2016-06-09,3.8126,4.3334
2016-06-10,3.8545,4.3558
2016-06-13,3.8943,4.39
2016-06-14,3.9483,4.4363
2016-06-15,3.9351,4.4155
2016-06-16,3.9469,4.4445
2016-06-17,3.9412,4.4363
2016-06-20,3.8724,4.3945
2016-06-21,3.8741,4.3935
2016-06-22,3.8945,4.39
2016-06-23,3.8593,4.3806
2016-06-24,3.9994,4.4526
2016-06-27,4.0263,4.4485
2016-06-28,4.003,4.4244
2016-06-29,3.9905,4.414
