date,indeks,price,volume
02.01.2016,tgebase,120.60,83955.20
03.01.2016,tgebase,122.62,82050.90
04.01.2016,tgebase,141.03,66314.90
05.01.2016,tgebase,173.67,77522.80
06.01.2016,tgebase,152.27,75863.90
07.01.2016,tgebase,201.01,84276.20
08.01.2016,tgebase,182.34,78794.00
09.01.2016,tgebase,173.12,92283.90
10.01.2016,tgebase,137.42,71005.60
11.01.2016,tgebase,223.12,97128.00
12.01.2016,tgebase,190.27,91164.90
13.01.2016,tgebase,198.92,74102.20
14.01.2016,tgebase,234.92,87208.30
15.01.2016,tgebase,208.40,85180.00
16.01.2016,tgebase,182.66,92873.80
17.01.2016,tgebase,150.63,81681.60
18.01.2016,tgebase,212.58,86727.00
19.01.2016,tgebase,197.23,83904.10
20.01.2016,tgebase,194.01,77361.80
21.01.2016,tgebase,208.50,93278.70
22.01.2016,tgebase,198.91,95864.30
23.01.2016,tgebase,163.70,101745.20
24.01.2016,tgebase,137.49,74602.10
25.01.2016,tgebase,182.36,77999.70
26.01.2016,tgebase,162.84,69991.90
27.01.2016,tgebase,149.90,74868.80
28.01.2016,tgebase,145.54,69429.20
29.01.2016,tgebase,143.18,72151.70
30.01.2016,tgebase,128.07,84930.60
31.01.2016,tgebase,112.81,81100.00
01.02.2016,tgebase,147.44,71995.00
02.02.2016,tgebase,131.86,70425.40
03.02.2016,tgebase,135.94,72109.20
04.02.2016,tgebase,139.30,69087.30
05.02.2016,tgebase,152.48,60780.60
06.02.2016,tgebase,130.41,63965.50
07.02.2016,tgebase,109.96,82999.90
08.02.2016,tgebase,125.23,81144.50
09.02.2016,tgebase,130.40,80065.30
10.02.2016,tgebase,143.98,78460.70
11.02.2016,tgebase,147.38,68447.60
12.02.2016,tgebase,159.24,82290.70
13.02.2016,tgebase,142.67,80668.50
14.02.2016,tgebase,124.49,73388.30
15.02.2016,tgebase,149.90,64452.50
16.02.2016,tgebase,155.30,73795.20
17.02.2016,tgebase,144.97,59177.80
18.02.2016,tgebase,155.28,76900.30
19.02.2016,tgebase,166.40,78869.50
20.02.2016,tgebase,130.93,65109.30
21.02.2016,tgebase,109.74,84976.80
22.02.2016,tgebase,124.15,71114.00
23.02.2016,tgebase,141.44,75705.10
24.02.2016,tgebase,145.32,67739.40
25.02.2016,tgebase,155.95,74295.10
26.02.2016,tgebase,154.59,77014.50
27.02.2016,tgebase,144.27,78205.20
28.02.2016,tgebase,129.27,80723.60
29.02.2016,tgebase,140.41,69930.40
01.03.2016,tgebase,154.04,81994.70
02.03.2016,tgebase,154.46,82714.70
03.03.2016,tgebase,163.98,102096.30
04.03.2016,tgebase,167.78,85549.30
05.03.2016,tgebase,133.43,81892.40
06.03.2016,tgebase,117.66,86217.60
07.03.2016,tgebase,157.01,83823.60
08.03.2016,tgebase,162.85,84140.50
09.03.2016,tgebase,160.36,81069.20
10.03.2016,tgebase,154.33,70782.50
11.03.2016,tgebase,153.60,73616.60
12.03.2016,tgebase,136.02,88414.90
13.03.2016,tgebase,125.05,82840.90
14.03.2016,tgebase,156.23,81816.30
15.03.2016,tgebase,142.63,72690.50
16.03.2016,tgebase,158.14,95134.60
17.03.2016,tgebase,150.86,78886.20
18.03.2016,tgebase,146.37,75263.00
19.03.2016,tgebase,136.32,93427.20
20.03.2016,tgebase,119.68,79385.30
21.03.2016,tgebase,155.30,68424.70
22.03.2016,tgebase,162.60,83983.40
23.03.2016,tgebase,165.80,82131.40
24.03.2016,tgebase,161.73,87496.40
25.03.2016,tgebase,154.11,72191.70
26.03.2016,tgebase,129.82,78801.20
27.03.2016,tgebase,98.97,97043.60
28.03.2016,tgebase,104.60,101137.30
29.03.2016,tgebase,137.77,82083.40
30.03.2016,tgebase,160.85,75914.50
31.03.2016,tgebase,164.43,85076.70
01.04.2016,tgebase,152.08,79329.80
02.04.2016,tgebase,153.13,85812.60
03.04.2016,tgebase,126.11,74337.00
04.04.2016,tgebase,169.53,75781.90
05.04.2016,tgebase,169.81,79520.60
06.04.2016,tgebase,154.08,77158.80
07.04.2016,tgebase,148.95,75794.50
08.04.2016,tgebase,168.43,79491.30
09.04.2016,tgebase,148.74,79624.10
10.04.2016,tgebase,131.48,69138.90
11.04.2016,tgebase,168.08,81534.90
12.04.2016,tgebase,180.35,88081.50
13.04.2016,tgebase,182.12,88713.90
14.04.2016,tgebase,175.58,80792.60
15.04.2016,tgebase,194.62,80390.80
16.04.2016,tgebase,165.77,82759.80
17.04.2016,tgebase,139.16,67952.50
18.04.2016,tgebase,168.15,74785.10
19.04.2016,tgebase,138.17,77633.20
20.04.2016,tgebase,146.94,76050.30
21.04.2016,tgebase,165.29,81383.40
22.04.2016,tgebase,153.87,83393.50
23.04.2016,tgebase,154.28,82375.40
24.04.2016,tgebase,129.76,75188.80
25.04.2016,tgebase,172.29,72796.10
26.04.2016,tgebase,155.47,71950.50
27.04.2016,tgebase,160.30,71088.40
28.04.2016,tgebase,156.33,67378.10
29.04.2016,tgebase,170.70,73085.10
30.04.2016,tgebase,139.75,75767.60
01.05.2016,tgebase,126.26,86766.50
02.05.2016,tgebase,144.01,75904.80
03.05.2016,tgebase,132.53,78204.50
04.05.2016,tgebase,161.45,75589.40
05.05.2016,tgebase,173.29,72256.20
06.05.2016,tgebase,168.76,79532.30
07.05.2016,tgebase,138.73,85665.00
08.05.2016,tgebase,125.62,74501.30
09.05.2016,tgebase,159.94,71705.00
10.05.2016,tgebase,162.93,72781.70
11.05.2016,tgebase,173.71,80410.80
12.05.2016,tgebase,162.12,70175.30
13.05.2016,tgebase,169.18,73657.50
14.05.2016,tgebase,139.08,75177.80
15.05.2016,tgebase,113.49,78736.00
16.05.2016,tgebase,134.16,69684.30
17.05.2016,tgebase,150.12,63949.70
18.05.2016,tgebase,176.10,85049.60
19.05.2016,tgebase,175.22,92667.50
20.05.2016,tgebase,173.08,81869.90
21.05.2016,tgebase,147.85,74643.30
22.05.2016,tgebase,128.16,71344.30
23.05.2016,tgebase,158.34,69927.60
24.05.2016,tgebase,169.66,74564.00
25.05.2016,tgebase,179.51,77071.40
26.05.2016,tgebase,131.04,62399.30
27.05.2016,tgebase,173.66,71690.00
28.05.2016,tgebase,178.80,79347.10
29.05.2016,tgebase,134.58,75467.90
30.05.2016,tgebase,162.83,82227.40
31.05.2016,tgebase,201.24,73626.20
01.06.2016,tgebase,185.48,68613.80
02.06.2016,tgebase,175.35,76570.80
03.06.2016,tgebase,170.78,79763.10
04.06.2016,tgebase,184.99,74030.10
05.06.2016,tgebase,141.35,71373.30
06.06.2016,tgebase,168.36,77698.30
07.06.2016,tgebase,214.02,80168.20
08.06.2016,tgebase,174.16,81966.60
09.06.2016,tgebase,198.15,82682.50
10.06.2016,tgebase,160.18,63184.80
11.06.2016,tgebase,169.84,81405.30
12.06.2016,tgebase,142.22,63423.80
13.06.2016,tgebase,167.58,76667.50
14.06.2016,tgebase,188.07,75081.10
15.06.2016,tgebase,237.41,68673.80
16.06.2016,tgebase,188.95,81574.70
17.06.2016,tgebase,160.72,66816.10
18.06.2016,tgebase,146.54,89251.00
19.06.2016,tgebase,148.85,64388.30
20.06.2016,tgebase,250.31,72015.60
21.06.2016,tgebase,259.71,71064.50
22.06.2016,tgebase,369.75,80100.60
23.06.2016,tgebase,373.99,77570.70
24.06.2016,tgebase,276.78,69368.10
25.06.2016,tgebase,188.27,81688.70
26.06.2016,tgebase,135.01,69525.50
27.06.2016,tgebase,236.89,71078.30
28.06.2016,tgebase,329.73,73979.10
29.06.2016,tgebase,305.96,81529.20
30.06.2016,tgebase,243.23,87700.80
01.07.2016,tgebase,329.79,69064.30
02.07.2016,tgebase,171.32,68223.40
03.07.2016,tgebase,133.49,55884.00
04.07.2016,tgebase,178.47,65443.30
05.07.2016,tgebase,185.54,60512.00
06.07.2016,tgebase,124.07,72910.10
07.07.2016,tgebase,133.89,76570.30
08.07.2016,tgebase,153.49,58241.70
09.07.2016,tgebase,123.79,66270.00
10.07.2016,tgebase,126.03,61167.80
11.07.2016,tgebase,149.52,66079.10
12.07.2016,tgebase,157.94,65460.30
13.07.2016,tgebase,160.88,65143.40
14.07.2016,tgebase,138.33,57302.40
15.07.2016,tgebase,132.30,71245.70
16.07.2016,tgebase,133.34,71553.90
17.07.2016,tgebase,122.61,66069.50
