Time,cz_price,se_price,lt_price,sk_price
2016-01-01 00:00:00,16.5,16.39,28.11,16.5
2016-01-01 01:00:00,15.5,16.04,16.04,15.5
2016-01-01 02:00:00,14.0,15.74,15.74,14.0
2016-01-01 03:00:00,10.01,15.57,15.57,10.01
2016-01-01 04:00:00,8.97,15.47,15.47,8.97
2016-01-01 05:00:00,12.23,15.75,15.75,12.23
2016-01-01 06:00:00,12.1,15.36,15.36,12.1
2016-01-01 07:00:00,14.0,15.37,15.37,14.0
2016-01-01 08:00:00,5.0,15.19,17.57,5.0
2016-01-01 09:00:00,10.01,15.39,35.0,10.01
2016-01-01 10:00:00,14.5,15.78,35.06,14.5
2016-01-01 11:00:00,5.0,16.15,35.03,5.0
2016-01-01 12:00:00,6.0,16.5,35.04,6.0
2016-01-01 13:00:00,11.05,16.72,35.05,11.05
2016-01-01 14:00:00,21.0,17.17,35.07,21.0
2016-01-01 15:00:00,25.0,18.0,39.81,25.0
2016-01-01 16:00:00,31.2,18.53,39.81,31.2
2016-01-01 17:00:00,34.02,19.11,39.81,34.02
2016-01-01 18:00:00,35.0,18.68,39.81,35.0
2016-01-01 19:00:00,34.5,17.93,35.69,34.5
2016-01-01 20:00:00,34.03,17.69,35.08,34.03
2016-01-01 21:00:00,30.0,17.33,33.43,30.0
2016-01-01 22:00:00,28.13,16.75,27.08,28.13
2016-01-01 23:00:00,21.8,16.25,20.08,21.8
2016-01-02 00:00:00,0.01,16.47,16.47,0.01
2016-01-02 01:00:00,1.0,15.89,20.01,1.0
2016-01-02 02:00:00,0.01,15.03,18.07,0.01
2016-01-02 03:00:00,0.01,13.19,19.21,0.01
2016-01-02 04:00:00,2.01,12.69,19.42,2.01
2016-01-02 05:00:00,1.0,12.94,19.21,1.0
2016-01-02 06:00:00,0.01,13.59,20.29,0.01
2016-01-02 07:00:00,1.0,14.25,35.68,1.0
2016-01-02 08:00:00,5.11,15.7,37.08,5.11
2016-01-02 09:00:00,22.0,15.72,37.05,22.0
2016-01-02 10:00:00,41.29,15.97,37.08,41.29
2016-01-02 11:00:00,51.08,16.14,37.09,51.08
2016-01-02 12:00:00,51.09,15.87,37.09,51.09
2016-01-02 13:00:00,61.93,15.98,37.09,61.93
2016-01-02 14:00:00,50.0,16.12,39.8,50.0
2016-01-02 15:00:00,53.04,16.57,39.89,53.04
2016-01-02 16:00:00,100.0,17.29,39.89,100.0
2016-01-02 17:00:00,64.83,17.52,39.87,64.83
2016-01-02 18:00:00,58.02,17.37,39.89,58.02
2016-01-02 19:00:00,32.29,16.95,39.86,32.29
2016-01-02 20:00:00,35.08,16.56,39.82,35.08
2016-01-02 21:00:00,22.0,15.83,35.7,22.0
2016-01-02 22:00:00,22.0,15.82,29.2,22.0
2016-01-02 23:00:00,16.0,15.31,27.12,16.0
2016-01-03 00:00:00,0.01,15.99,25.32,0.01
2016-01-03 01:00:00,2.5,15.87,19.41,2.5
2016-01-03 02:00:00,1.0,15.76,18.64,1.0
2016-01-03 03:00:00,1.0,15.59,19.41,1.0
2016-01-03 04:00:00,1.31,15.69,19.22,1.31
2016-01-03 05:00:00,1.0,15.83,19.46,1.0
2016-01-03 06:00:00,0.01,14.98,35.68,0.01
2016-01-03 07:00:00,1.01,15.53,39.88,1.01
2016-01-03 08:00:00,11.38,15.79,45.01,11.38
2016-01-03 09:00:00,19.77,16.36,45.09,19.77
2016-01-03 10:00:00,27.0,17.15,45.0,27.0
2016-01-03 11:00:00,29.0,17.94,45.01,29.0
2016-01-03 12:00:00,27.0,17.94,45.01,27.0
2016-01-03 13:00:00,27.0,17.66,45.01,27.0
2016-01-03 14:00:00,27.0,17.66,45.0,27.0
2016-01-03 15:00:00,29.0,17.6,45.1,29.0
2016-01-03 16:00:00,44.8,18.61,45.04,44.8
2016-01-03 17:00:00,34.5,19.11,45.04,34.5
2016-01-03 18:00:00,37.9,18.86,50.04,37.9
2016-01-03 19:00:00,33.45,18.51,39.87,33.45
2016-01-03 20:00:00,29.0,18.08,39.89,29.0
2016-01-03 21:00:00,25.5,17.72,35.68,25.5
2016-01-03 22:00:00,24.87,17.03,31.89,24.87
2016-01-03 23:00:00,17.15,15.74,26.06,17.15
2016-01-04 00:00:00,23.0,15.96,30.37,23.0
2016-01-04 01:00:00,15.43,15.81,29.91,15.43
2016-01-04 02:00:00,14.5,15.56,26.08,14.5
2016-01-04 03:00:00,12.58,15.57,26.08,12.58
2016-01-04 04:00:00,14.5,15.92,31.56,14.5
2016-01-04 05:00:00,22.0,16.76,51.31,22.0
2016-01-04 06:00:00,37.9,18.01,51.32,37.9
2016-01-04 07:00:00,55.35,19.54,51.33,55.35
2016-01-04 08:00:00,45.0,20.49,51.33,45.0
2016-01-04 09:00:00,45.41,20.49,51.33,45.41
2016-01-04 10:00:00,48.0,20.47,51.33,58.0
2016-01-04 11:00:00,48.0,20.14,51.33,48.0
2016-01-04 12:00:00,58.23,19.85,51.33,58.23
2016-01-04 13:00:00,57.02,19.83,51.33,57.02
2016-01-04 14:00:00,57.42,19.88,51.33,57.42
2016-01-04 15:00:00,58.06,20.09,51.33,58.06
2016-01-04 16:00:00,59.48,22.06,51.33,59.48
2016-01-04 17:00:00,51.0,28.48,51.33,51.0
2016-01-04 18:00:00,48.0,20.54,51.32,48.0
2016-01-04 19:00:00,45.0,19.77,51.32,45.0
2016-01-04 20:00:00,40.0,19.05,48.07,40.0
2016-01-04 21:00:00,34.3,18.5,48.0,34.3
2016-01-04 22:00:00,32.0,17.71,34.98,32.0
2016-01-04 23:00:00,25.0,17.03,30.95,25.0
2016-01-05 00:00:00,22.4,17.68,30.42,22.4
2016-01-05 01:00:00,21.57,17.33,29.07,21.57
2016-01-05 02:00:00,20.3,17.24,30.06,20.3
2016-01-05 03:00:00,19.01,17.32,30.07,19.01
2016-01-05 04:00:00,19.37,17.66,31.44,28.97
2016-01-05 05:00:00,21.34,17.92,37.58,21.34
2016-01-05 06:00:00,29.6,18.8,48.07,47.95
2016-01-05 07:00:00,37.0,20.51,55.04,37.0
2016-01-05 08:00:00,41.94,22.58,55.09,41.94
2016-01-05 09:00:00,49.0,23.13,55.11,59.9
2016-01-05 10:00:00,50.5,23.21,55.1,59.23
2016-01-05 11:00:00,48.13,21.91,55.13,56.14
2016-01-05 12:00:00,40.34,21.29,55.1,54.81
2016-01-05 13:00:00,39.94,20.98,55.11,53.04
2016-01-05 14:00:00,40.23,21.03,55.11,54.06
2016-01-05 15:00:00,45.0,23.17,55.1,58.76
2016-01-05 16:00:00,41.31,30.98,55.12,61.89
2016-01-05 17:00:00,45.99,34.63,55.11,61.66
2016-01-05 18:00:00,45.33,24.18,55.07,59.9
2016-01-05 19:00:00,43.0,20.83,55.0,59.75
2016-01-05 20:00:00,37.0,19.89,49.04,58.24
2016-01-05 21:00:00,32.16,19.39,41.34,54.81
2016-01-05 22:00:00,30.01,18.73,35.72,30.01
2016-01-05 23:00:00,25.0,17.97,33.26,25.0
2016-01-06 00:00:00,26.47,20.02,33.36,26.47
2016-01-06 01:00:00,26.83,19.63,31.53,26.83
2016-01-06 02:00:00,24.75,19.33,30.19,24.75
2016-01-06 03:00:00,24.51,19.35,30.08,24.51
2016-01-06 04:00:00,24.0,19.51,31.52,24.0
2016-01-06 05:00:00,25.69,19.81,37.34,25.69
2016-01-06 06:00:00,30.0,20.5,50.06,30.0
2016-01-06 07:00:00,37.4,22.06,50.07,37.4
2016-01-06 08:00:00,40.42,25.19,55.03,40.42
