doba,udtczas,obciazenie,udtczas_oreb,business_date,source_datetime
2024-06-14,2024-06-14 00:00:00,16383.22,23:45 - 24:00,2024-06-13,2024-06-15 19:36:32.702
2024-06-14,2024-06-14 00:15:00,16296.632,00:00 - 00:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 00:30:00,15965.375,00:15 - 00:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 00:45:00,15773.818,00:30 - 00:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 01:00:00,15696.878,00:45 - 01:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 01:15:00,15607.538,01:00 - 01:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 01:30:00,15486.252,01:15 - 01:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 01:45:00,15249.491,01:30 - 01:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 02:00:00,15030.259,01:45 - 02:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 02:15:00,15185.268,02:00 - 02:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 02:30:00,15092.548,02:15 - 02:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 02:45:00,15129.279,02:30 - 02:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 03:00:00,15077.702,02:45 - 03:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 03:15:00,15086.231,03:00 - 03:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 03:30:00,14939.195,03:15 - 03:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 03:45:00,15008.108,03:30 - 03:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 04:00:00,14936.46,03:45 - 04:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 04:15:00,14606.99,04:00 - 04:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 04:30:00,14829.338,04:15 - 04:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 04:45:00,14960.381,04:30 - 04:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 05:00:00,15032.576,04:45 - 05:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 05:15:00,15317.383,05:00 - 05:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 05:30:00,15280.906,05:15 - 05:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 05:45:00,15499.602,05:30 - 05:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 06:00:00,16179.918,05:45 - 06:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 06:15:00,17240.57,06:00 - 06:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 06:30:00,17746.568,06:15 - 06:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 06:45:00,18150.08,06:30 - 06:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 07:00:00,18782.498,06:45 - 07:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 07:15:00,19172.092,07:00 - 07:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 07:30:00,19466.145,07:15 - 07:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 07:45:00,19753.72,07:30 - 07:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 08:00:00,19878.758,07:45 - 08:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 08:15:00,19950.2,08:00 - 08:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 08:30:00,20206.652,08:15 - 08:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 08:45:00,20057.547,08:30 - 08:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 09:00:00,20092.39,08:45 - 09:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 09:15:00,19917.592,09:00 - 09:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 09:30:00,20110.475,09:15 - 09:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 09:45:00,19765.537,09:30 - 09:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 10:00:00,19373.97,09:45 - 10:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 10:15:00,19151.988,10:00 - 10:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 10:30:00,19426.205,10:15 - 10:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 10:45:00,19259.318,10:30 - 10:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 11:00:00,19340.63,10:45 - 11:00,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 11:15:00,19228.445,11:00 - 11:15,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 11:30:00,19277.223,11:15 - 11:30,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 11:45:00,19640.979,11:30 - 11:45,2024-06-14,2025-01-30 15:15:10.598
2024-06-14,2024-06-14 12:00:00,19357.773,11:45 - 12:00,2024-06-14,2025-01-30 15:15:10.598
