Data;Godzina;COR;CRO;CROs;CROz
20170601;1;-;107,01;107,01;107,01
20170601;2;-;107,01;107,01;107,01
20170601;3;-;107,01;107,01;107,01
20170601;4;-;98,89;98,89;98,89
20170601;5;-;98,55;98,55;98,55
20170601;6;-;107,01;107,01;107,01
20170601;7;-;140,21;140,21;140,21
20170601;8;34,99;170,01;170,01;170,01
20170601;9;41,02;128,30;128,30;128,30
20170601;10;38,28;126,00;126,00;126,00
20170601;11;34,75;125,00;125,00;125,00
20170601;12;36,38;127,95;127,95;127,95
20170601;13;37,46;128,30;128,30;128,30
20170601;14;41,12;127,65;127,65;127,65
20170601;15;36,83;125,00;125,00;125,00
20170601;16;34,94;121,51;121,51;121,51
20170601;17;31,99;121,44;121,44;121,44
20170601;18;34,62;125,00;125,00;125,00
20170601;19;39,49;125,00;125,00;125,00
20170601;20;40,99;127,65;127,65;127,65
20170601;21;41,32;134,40;134,40;134,40
20170601;22;41,39;134,40;134,40;134,40
20170601;23;-;130,80;130,80;130,80
20170601;24;-;128,30;128,30;128,30
20170602;1;-;135,00;135,00;135,00
20170602;2;-;132,62;132,62;132,62
20170602;3;-;132,62;132,62;132,62
20170602;4;-;111,00;111,00;111,00
20170602;5;-;107,01;107,01;107,01
20170602;6;-;128,30;128,30;128,30
20170602;7;-;134,27;134,27;134,27
20170602;8;41,79;195,91;195,91;195,91
20170602;9;41,79;227,67;227,67;227,67
20170602;10;41,79;227,48;227,48;227,48
20170602;11;41,79;135,00;135,00;135,00
20170602;12;41,79;227,67;227,67;227,67
20170602;13;41,79;227,67;227,67;227,67
20170602;14;41,79;134,29;134,29;134,29
20170602;15;41,79;134,20;134,20;134,20
20170602;16;41,79;134,20;134,20;134,20
20170602;17;41,79;134,20;134,20;134,20
20170602;18;40,67;134,27;134,27;134,27
20170602;19;41,79;134,28;134,28;134,28
20170602;20;41,79;181,89;181,89;181,89
20170602;21;41,79;134,29;134,29;134,29
20170602;22;41,79;134,22;134,22;134,22
20170602;23;-;170,00;170,00;170,00
20170602;24;-;150,99;150,99;150,99
20170603;1;-;120,55;120,55;120,55
20170603;2;-;119,24;119,24;119,24
20170603;3;-;108,00;108,00;108,00
20170603;4;-;107,01;107,01;107,01
20170603;5;-;108,00;108,00;108,00
20170603;6;-;107,01;107,01;107,01
20170603;7;-;120,55;120,55;120,55
20170603;8;-;135,50;135,50;135,50
20170603;9;-;185,22;185,22;185,22
20170603;10;-;485,85;485,85;485,85
20170603;11;-;612,00;612,00;612,00
20170603;12;-;629,00;629,00;629,00
20170603;13;-;523,72;523,72;523,72
20170603;14;-;237,59;237,59;237,59
20170603;15;-;173,87;173,87;173,87
20170603;16;-;189,97;189,97;189,97
20170603;17;-;189,97;189,97;189,97
20170603;18;-;185,25;185,25;185,25
20170603;19;-;189,97;189,97;189,97
20170603;20;-;185,22;185,22;185,22
20170603;21;-;185,22;185,22;185,22
20170603;22;-;160,39;160,39;160,39
20170603;23;-;181,22;181,22;181,22
20170603;24;-;150,00;150,00;150,00
20170604;1;-;139,89;139,89;139,89
20170604;2;-;107,01;107,01;107,01
20170604;3;-;107,01;107,01;107,01
20170604;4;-;97,00;97,00;97,00
20170604;5;-;72,20;72,20;72,20
20170604;6;-;72,20;72,20;72,20
20170604;7;-;108,00;108,00;108,00
20170604;8;-;110,00;110,00;110,00
20170604;9;-;108,00;108,00;108,00
20170604;10;-;128,30;128,30;128,30
20170604;11;-;130,39;130,39;130,39
20170604;12;-;125,00;125,00;125,00
20170604;13;-;130,39;130,39;130,39
20170604;14;-;149,39;149,39;149,39
20170604;15;-;149,39;149,39;149,39
20170604;16;-;148,39;148,39;148,39
20170604;17;-;148,39;148,39;148,39
20170604;18;-;148,39;148,39;148,39
20170604;19;-;112,89;112,89;112,89
20170604;20;-;112,89;112,89;112,89
20170604;21;-;125,00;125,00;125,00
20170604;22;-;125,00;125,00;125,00
20170604;23;-;129,73;129,73;129,73
20170604;24;-;107,01;107,01;107,01
20170605;1;-;108,33;108,33;108,33
20170605;2;-;101,07;101,07;101,07
20170605;3;-;106,00;106,00;106,00
20170605;4;-;107,50;107,50;107,50
20170605;5;-;99,91;99,91;99,91
20170605;6;-;108,33;108,33;108,33
20170605;7;-;139,10;139,10;139,10
20170605;8;32,38;127,00;127,00;127,00
20170605;9;41,79;133,67;133,67;133,67
20170605;10;41,79;131,70;131,70;131,70
20170605;11;41,79;131,70;131,70;131,70
20170605;12;41,79;133,59;133,59;133,59
20170605;13;41,79;152,89;152,89;152,89
20170605;14;41,79;135,00;135,00;135,00
20170605;15;41,79;135,00;135,00;135,00
20170605;16;41,79;133,58;133,58;133,58
20170605;17;41,79;133,58;133,58;133,58
20170605;18;41,79;185,89;185,89;185,89
20170605;19;41,79;219,79;219,79;219,79
20170605;20;41,79;170,21;170,21;170,21
20170605;21;41,79;170,11;170,11;170,11
20170605;22;41,79;133,52;133,52;133,52
20170605;23;-;140,11;140,11;140,11
20170605;24;-;141,36;141,36;141,36
20170606;1;-;132,37;132,37;132,37
20170606;2;-;128,30;128,30;128,30
20170606;3;-;106,00;106,00;106,00
20170606;4;-;105,89;105,89;105,89
20170606;5;-;105,89;105,89;105,89
20170606;6;-;120,84;120,84;120,84
20170606;7;-;149,90;149,90;149,90
20170606;8;35,63;150,00;150,00;150,00
20170606;9;41,16;180,50;180,50;180,50
20170606;10;41,79;210,33;210,33;210,33
20170606;11;39,53;182,77;182,77;182,77
20170606;12;39,78;182,31;182,31;182,31
20170606;13;39,44;135,00;135,00;135,00
20170606;14;38,58;153,24;153,24;153,24
20170606;15;35,52;134,06;134,06;134,06
20170606;16;34,05;134,05;134,05;134,05
20170606;17;32,18;134,05;134,05;134,05
20170606;18;29,80;127,46;127,46;127,46
20170606;19;27,23;127,24;127,24;127,24
20170606;20;25,91;170,11;170,11;170,11
20170606;21;26,73;180,60;180,60;180,60
20170606;22;25,56;188,32;188,32;188,32
20170606;23;-;143,47;143,47;143,47
20170606;24;-;134,55;134,55;134,55
20170607;1;-;107,01;107,01;107,01
20170607;2;-;130,01;130,01;130,01
20170607;3;-;130,41;130,41;130,41
20170607;4;-;107,01;107,01;107,01
20170607;5;-;98,05;98,05;98,05
20170607;6;-;106,00;106,00;106,00
20170607;7;-;127,48;127,48;127,48
20170607;8;28,68;134,12;134,12;134,12
20170607;9;32,96;186,76;186,76;186,76
20170607;10;35,88;134,18;134,18;134,18
20170607;11;35,15;135,00;135,00;135,00
20170607;12;37,16;153,43;153,43;153,43
20170607;13;37,42;134,19;134,19;134,19
20170607;14;37,95;128,30;128,30;128,30
20170607;15;36,36;127,32;127,32;127,32
20170607;16;35,61;127,62;127,62;127,62
20170607;17;34,20;127,62;127,62;127,62
20170607;18;33,27;128,30;128,30;128,30
20170607;19;31,92;128,30;128,30;128,30
20170607;20;33,46;134,17;134,17;134,17
20170607;21;35,24;167,70;167,70;167,70
20170607;22;35,55;200,70;200,70;200,70
20170607;23;-;159,75;159,75;159,75
20170607;24;-;132,51;132,51;132,51
20170608;1;-;121,42;121,42;121,42
20170608;2;-;130,11;130,11;130,11
20170608;3;-;130,01;130,01;130,01
20170608;4;-;130,01;130,01;130,01
20170608;5;-;109,00;109,00;109,00
20170608;6;-;107,01;107,01;107,01
20170608;7;-;127,77;127,77;127,77
20170608;8;30,75;134,37;134,37;134,37
20170608;9;34,56;219,76;219,76;219,76
20170608;10;39,20;225,84;225,84;225,84
20170608;11;38,21;225,84;225,84;225,84
20170608;12;41,79;225,84;225,84;225,84
20170608;13;39,94;153,69;153,69;153,69
20170608;14;40,21;134,43;134,43;134,43
20170608;15;39,51;135,00;135,00;135,00
20170608;16;37,93;170,41;170,41;170,41
20170608;17;36,09;196,88;196,88;196,88
20170608;18;35,30;220,47;220,47;220,47
20170608;19;38,01;225,84;225,84;225,84
20170608;20;41,79;221,39;221,39;221,39
20170608;21;41,79;225,87;225,87;225,87
20170608;22;40,79;225,87;225,87;225,87
20170608;23;-;172,16;172,16;172,16
20170608;24;-;150,70;150,70;150,70
20170609;1;-;139,10;139,10;139,10
20170609;2;-;132,79;132,79;132,79
20170609;3;-;130,31;130,31;130,31
20170609;4;-;110,91;110,91;110,91
20170609;5;-;107,01;107,01;107,01
20170609;6;-;125,78;125,78;125,78
