Data;Godzina;CRO;CROs;CROz
20230901;1;288,52;288,52;288,52
20230901;2;448,76;448,76;448,76
20230901;3;450,74;450,74;450,74
20230901;4;450,83;450,83;450,83
20230901;5;458,57;458,57;458,57
20230901;6;464,67;464,67;464,67
20230901;7;464,16;464,16;464,16
20230901;8;487,07;487,07;487,07
20230901;9;487,07;487,07;487,07
20230901;10;300,83;300,83;300,83
20230901;11;118,75;118,75;118,75
20230901;12;247,50;247,50;247,50
20230901;13;288,52;288,52;288,52
20230901;14;338,52;338,52;338,52
20230901;15;288,52;288,52;288,52
20230901;16;323,38;323,38;323,38
20230901;17;82,46;82,46;82,46
20230901;18;218,54;218,54;218,54
20230901;19;539,98;539,98;539,98
20230901;20;744,32;744,32;744,32
20230901;21;699,90;699,90;699,90
20230901;22;218,54;218,54;218,54
20230901;23;-14,08;-14,08;-14,08
20230901;24;10,00;10,00;10,00
20230902;1;358,31;358,31;358,31
20230902;2;358,31;358,31;358,31
20230902;3;372,35;372,35;372,35
20230902;4;462,38;462,38;462,38
20230902;5;486,78;486,78;486,78
20230902;6;526,85;526,85;526,85
20230902;7;456,32;456,32;456,32
20230902;8;461,88;461,88;461,88
20230902;9;462,38;462,38;462,38
20230902;10;462,38;462,38;462,38
20230902;11;296,78;296,78;296,78
20230902;12;218,39;218,39;218,39
20230902;13;85,89;85,89;85,89
20230902;14;294,68;294,68;294,68
20230902;15;185,65;185,65;185,65
20230902;16;218,39;218,39;218,39
20230902;17;339,00;339,00;339,00
20230902;18;460,59;460,59;460,59
20230902;19;645,21;645,21;645,21
20230902;20;646,99;646,99;646,99
20230902;21;640,75;640,75;640,75
20230902;22;526,85;526,85;526,85
20230902;23;454,40;454,40;454,40
20230902;24;456,32;456,32;456,32
20230903;1;486,38;486,38;486,38
20230903;2;460,80;460,80;460,80
20230903;3;460,29;460,29;460,29
20230903;4;451,34;451,34;451,34
20230903;5;451,34;451,34;451,34
20230903;6;447,08;447,08;447,08
20230903;7;447,10;447,10;447,10
20230903;8;447,08;447,08;447,08
20230903;9;446,89;446,89;446,89
20230903;10;444,94;444,94;444,94
20230903;11;218,19;218,19;218,19
20230903;12;10,01;10,01;10,01
20230903;13;218,19;218,19;218,19
20230903;14;-5,00;-5,00;-5,00
20230903;15;-20,00;-20,00;-20,00
20230903;16;59,48;59,48;59,48
20230903;17;343,33;343,33;343,33
20230903;18;452,85;452,85;452,85
20230903;19;486,38;486,38;486,38
20230903;20;556,98;556,98;556,98
20230903;21;663,96;663,96;663,96
20230903;22;530,75;530,75;530,75
20230903;23;464,52;464,52;464,52
20230903;24;454,75;454,75;454,75
20230904;1;448,84;448,84;448,84
20230904;2;448,84;448,84;448,84
20230904;3;448,86;448,86;448,86
20230904;4;454,63;454,63;454,63
20230904;5;454,64;454,64;454,64
20230904;6;454,63;454,63;454,63
20230904;7;492,76;492,76;492,76
20230904;8;689,87;689,87;689,87
20230904;9;526,59;526,59;526,59
20230904;10;462,10;462,10;462,10
20230904;11;348,48;348,48;348,48
20230904;12;348,48;348,48;348,48
20230904;13;216,38;216,38;216,38
20230904;14;216,38;216,38;216,38
20230904;15;10,01;10,01;10,01
20230904;16;89,48;89,48;89,48
20230904;17;305,65;305,65;305,65
20230904;18;658,57;658,57;658,57
20230904;19;772,04;772,04;772,04
20230904;20;826,31;826,31;826,31
20230904;21;806,35;806,35;806,35
20230904;22;751,52;751,52;751,52
20230904;23;492,76;492,76;492,76
20230904;24;448,84;448,84;448,84
20230905;1;346,68;346,68;346,68
20230905;2;346,68;346,68;346,68
20230905;3;346,68;346,68;346,68
20230905;4;300,12;300,12;300,12
20230905;5;91,51;91,51;91,51
20230905;6;91,51;91,51;91,51
20230905;7;369,73;369,73;369,73
20230905;8;359,42;359,42;359,42
20230905;9;359,42;359,42;359,42
20230905;10;448,19;448,19;448,19
20230905;11;448,18;448,18;448,18
20230905;12;347,34;347,34;347,34
20230905;13;91,51;91,51;91,51
20230905;14;91,51;91,51;91,51
20230905;15;347,34;347,34;347,34
20230905;16;448,02;448,02;448,02
20230905;17;455,89;455,89;455,89
20230905;18;428,43;428,43;428,43
20230905;19;718,82;718,82;718,82
20230905;20;767,78;767,78;767,78
20230905;21;699,50;699,50;699,50
20230905;22;361,44;361,44;361,44
20230905;23;346,45;346,45;346,45
20230905;24;70,00;70,00;70,00
20230906;1;341,48;341,48;341,48
20230906;2;320,51;320,51;320,51
20230906;3;440,07;440,07;440,07
20230906;4;444,10;444,10;444,10
20230906;5;444,10;444,10;444,10
20230906;6;458,89;458,89;458,89
20230906;7;699,76;699,76;699,76
20230906;8;713,63;713,63;713,63
20230906;9;592,60;592,60;592,60
20230906;10;446,11;446,11;446,11
20230906;11;438,14;438,14;438,14
20230906;12;337,08;337,08;337,08
20230906;13;422,65;422,65;422,65
20230906;14;422,67;422,67;422,67
20230906;15;422,66;422,66;422,66
20230906;16;350,28;350,28;350,28
20230906;17;343,68;343,68;343,68
20230906;18;663,73;663,73;663,73
20230906;19;745,69;745,69;745,69
20230906;20;802,06;802,06;802,06
20230906;21;787,73;787,73;787,73
20230906;22;721,48;721,48;721,48
20230906;23;529,01;529,01;529,01
20230906;24;453,84;453,84;453,84
20230907;1;445,80;445,80;445,80
20230907;2;445,81;445,81;445,81
20230907;3;447,67;447,67;447,67
20230907;4;445,82;445,82;445,82
20230907;5;447,67;447,67;447,67
20230907;6;453,63;453,63;453,63
20230907;7;699,00;699,00;699,00
20230907;8;707,89;707,89;707,89
20230907;9;700,00;700,00;700,00
20230907;10;467,03;467,03;467,03
20230907;11;443,81;443,81;443,81
20230907;12;342,39;342,39;342,39
20230907;13;342,39;342,39;342,39
20230907;14;422,88;422,88;422,88
20230907;15;422,36;422,36;422,36
20230907;16;440,13;440,13;440,13
20230907;17;458,58;458,58;458,58
20230907;18;700,00;700,00;700,00
20230907;19;713,03;713,03;713,03
20230907;20;724,60;724,60;724,60
20230907;21;714,80;714,80;714,80
20230907;22;699,00;699,00;699,00
20230907;23;453,14;453,14;453,14
20230907;24;447,69;447,69;447,69
20230908;1;340,83;340,83;340,83
20230908;2;441,02;441,02;441,02
20230908;3;441,03;441,03;441,03
20230908;4;438,43;438,43;438,43
20230908;5;441,01;441,01;441,01
20230908;6;446,72;446,72;446,72
20230908;7;527,02;527,02;527,02
20230908;8;700,00;700,00;700,00
20230908;9;666,48;666,48;666,48
20230908;10;550,00;550,00;550,00
20230908;11;441,02;441,02;441,02
20230908;12;448,60;448,60;448,60
20230908;13;448,58;448,58;448,58
20230908;14;441,01;441,01;441,01
20230908;15;297,04;297,04;297,04
20230908;16;446,73;446,73;446,73
20230908;17;522,70;522,70;522,70
20230908;18;719,21;719,21;719,21
20230908;19;785,26;785,26;785,26
20230908;20;785,27;785,27;785,27
20230908;21;797,59;797,59;797,59
20230908;22;700,00;700,00;700,00
20230908;23;527,02;527,02;527,02
20230908;24;639,79;639,79;639,79
20230909;1;573,82;573,82;573,82
20230909;2;460,17;460,17;460,17
20230909;3;446,46;446,46;446,46
20230909;4;452,23;452,23;452,23
20230909;5;454,14;454,14;454,14
20230909;6;465,19;465,19;465,19
20230909;7;525,25;525,25;525,25
20230909;8;601,86;601,86;601,86
20230909;9;452,23;452,23;452,23
20230909;10;444,30;444,30;444,30
20230909;11;429,11;429,11;429,11
20230909;12;429,10;429,10;429,10
20230909;13;275,68;275,68;275,68
20230909;14;316,38;316,38;316,38
20230909;15;428,60;428,60;428,60
20230909;16;444,30;444,30;444,30
20230909;17;454,15;454,15;454,15
20230909;18;632,46;632,46;632,46
20230909;19;493,32;493,32;493,32
20230909;20;653,39;653,39;653,39
20230909;21;516,70;516,70;516,70
20230909;22;49,61;49,61;49,61
20230909;23;64,00;64,00;64,00
20230909;24;275,68;275,68;275,68
20230910;1;213,38;213,38;213,38
20230910;2;439,98;439,98;439,98
20230910;3;439,98;439,98;439,98
20230910;4;439,98;439,98;439,98
20230910;5;437,72;437,72;437,72
20230910;6;447,53;447,53;447,53
20230910;7;447,53;447,53;447,53
20230910;8;445,68;445,68;445,68
20230910;9;443,68;443,68;443,68
20230910;10;422,74;422,74;422,74
20230910;11;135,79;135,79;135,79
20230910;12;-14,00;-14,00;-14,00
20230910;13;-25,24;-25,24;-25,24
20230910;14;-50,00;-50,00;-50,00
20230910;15;-48,98;-48,98;-48,98
20230910;16;138,68;138,68;138,68
20230910;17;65,77;65,77;65,77
20230910;18;439,99;439,99;439,99
20230910;19;699,00;699,00;699,00
20230910;20;703,98;703,98;703,98
20230910;21;700,00;700,00;700,00
20230910;22;636,33;636,33;636,33
20230910;23;636,33;636,33;636,33
20230910;24;633,15;633,15;633,15
20230911;1;524,35;524,35;524,35
20230911;2;473,15;473,15;473,15
20230911;3;473,15;473,15;473,15
20230911;4;464,58;464,58;464,58
20230911;5;473,15;473,15;473,15
20230911;6;524,35;524,35;524,35
20230911;7;703,85;703,85;703,85
20230911;8;782,29;782,29;782,29
20230911;9;716,15;716,15;716,15
20230911;10;698,37;698,37;698,37
20230911;11;464,59;464,59;464,59
20230911;12;459,06;459,06;459,06
20230911;13;459,58;459,58;459,58
20230911;14;459,47;459,47;459,47
20230911;15;464,58;464,58;464,58
20230911;16;586,30;586,30;586,30
20230911;17;701,25;701,25;701,25
20230911;18;797,25;797,25;797,25
20230911;19;923,15;923,15;923,15
20230911;20;983,76;983,76;983,76
20230911;21;957,46;957,46;957,46
20230911;22;941,64;941,64;941,64
20230911;23;771,25;771,25;771,25
20230911;24;666,14;666,14;666,14
20230912;1;586,74;586,74;586,74
20230912;2;524,89;524,89;524,89
20230912;3;524,89;524,89;524,89
20230912;4;586,74;586,74;586,74
20230912;5;586,74;586,74;586,74
20230912;6;676,36;676,36;676,36
20230912;7;744,35;744,35;744,35
20230912;8;799,13;799,13;799,13
20230912;9;744,36;744,36;744,36
20230912;10;685,65;685,65;685,65
20230912;11;643,22;643,22;643,22
20230912;12;481,20;481,20;481,20
20230912;13;481,20;481,20;481,20
20230912;14;465,09;465,09;465,09
20230912;15;481,20;481,20;481,20
20230912;16;643,22;643,22;643,22
20230912;17;716,78;716,78;716,78
20230912;18;783,41;783,41;783,41
20230912;19;945,32;945,32;945,32
20230912;20;910,28;910,28;910,28
20230912;21;771,92;771,92;771,92
20230912;22;733,02;733,02;733,02
20230912;23;706,69;706,69;706,69
20230912;24;653,02;653,02;653,02
20230913;1;601,49;601,49;601,49
20230913;2;461,61;461,61;461,61
20230913;3;464,33;464,33;464,33
20230913;4;485,96;485,96;485,96
20230913;5;601,49;601,49;601,49
20230913;6;700,00;700,00;700,00
20230913;7;714,73;714,73;714,73
20230913;8;745,33;745,33;745,33
20230913;9;720,47;720,47;720,47
20230913;10;720,47;720,47;720,47
20230913;11;674,00;674,00;674,00
