timestamp,temp_skr,temp_krk,temp_gda,temp_babimost,wind_speed_skr,wind_speed_krk,wind_speed_gda,wind_speed_babimost,cloud_cover_skr,cloud_cover_krk,cloud_cover_gda,cloud_cover_babimost
2016-01-01 06:00:00,-9.7,-10.3,-8.9,-0.8,2.0,0.0,2.0,1.0,1.0,2.0,3.0,8.0
2016-01-01 12:00:00,-6.2,-2.5,-5.7,0.5,2.0,2.0,4.0,0.0,0.0,3.0,4.0,8.0
2016-01-01 18:00:00,-9.9,-7.3,-9.5,-0.2,4.0,3.0,4.0,3.0,0.0,1.0,1.0,8.0
2016-01-02 06:00:00,-10.4,-11.8,-9.6,-7.9,4.0,3.0,6.0,7.0,1.0,1.0,7.0,8.0
2016-01-02 12:00:00,-8.9,-8.2,-9.1,-8.6,4.0,4.0,7.0,8.0,0.0,3.0,4.0,4.0
2016-01-02 18:00:00,-11.9,-9.4,-11.4,-9.4,4.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0
2016-01-03 06:00:00,-16.1,-14.5,-15.6,-13.3,2.0,3.0,2.0,5.0,0.0,3.0,0.0,2.0
2016-01-03 12:00:00,-11.3,-11.1,-10.6,-11.1,4.0,2.0,3.0,5.0,0.0,4.0,0.0,6.0
2016-01-03 18:00:00,-15.6,-12.5,-13.2,-12.2,2.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0
2016-01-04 06:00:00,-15.2,-15.4,-16.3,-12.6,2.0,1.0,3.0,4.0,0.0,2.0,0.0,5.0
2016-01-04 12:00:00,-10.2,-9.3,-9.9,-9.7,4.0,2.0,3.0,5.0,0.0,8.0,0.0,7.0
2016-01-04 18:00:00,-12.7,-7.2,-11.7,-9.5,4.0,2.0,3.0,4.0,0.0,8.0,0.0,8.0
2016-01-05 06:00:00,-17.1,-8.2,-14.6,-11.3,1.0,1.0,0.0,4.0,1.0,8.0,1.0,8.0
2016-01-05 12:00:00,-12.5,-6.5,-10.5,-9.7,2.0,1.0,2.0,4.0,6.0,8.0,8.0,7.0
2016-01-05 18:00:00,-12.5,-5.1,-13.4,-8.9,1.0,1.0,0.0,3.0,5.0,8.0,6.0,8.0
2016-01-06 06:00:00,-7.5,-3.8,-16.5,-8.7,1.0,1.0,0.0,3.0,8.0,8.0,0.0,8.0
2016-01-06 12:00:00,-4.5,-1.2,-11.8,-7.7,2.0,2.0,2.0,3.0,8.0,7.0,1.0,8.0
2016-01-06 18:00:00,-5.3,-1.6,-9.9,-7.8,2.0,1.0,3.0,2.0,8.0,8.0,7.0,8.0
2016-01-07 06:00:00,-5.7,-2.8,-8.6,-6.9,2.0,1.0,5.0,3.0,8.0,8.0,1.0,8.0
2016-01-07 12:00:00,-4.7,-1.6,-7.9,-5.4,2.0,1.0,6.0,4.0,8.0,8.0,7.0,8.0
2016-01-07 18:00:00,-4.9,-2.0,-9.2,-4.6,1.0,2.0,4.0,3.0,8.0,8.0,7.0,8.0
2016-01-08 06:00:00,-4.5,-3.1,-7.4,-0.8,4.0,2.0,4.0,3.0,8.0,7.0,8.0,8.0
2016-01-08 12:00:00,-2.7,2.3,-5.4,3.4,2.0,1.0,4.0,6.0,8.0,5.0,8.0,6.0
2016-01-08 18:00:00,2.1,0.1,-4.8,5.4,4.0,2.0,2.0,10.0,8.0,0.0,8.0,8.0
