time,temperature_2m (°C),wind_speed_100m (m/s),cloud_cover (%),shortwave_radiation (W/m²)
2016-01-01T00:00,-1.2,3.98,100,0.0
2016-01-01T01:00,-0.7,3.48,100,0.0
2016-01-01T02:00,-0.5,3.09,100,0.0
2016-01-01T03:00,-0.3,3.06,100,0.0
2016-01-01T04:00,-0.3,2.86,100,0.0
2016-01-01T05:00,-0.2,2.47,100,0.0
2016-01-01T06:00,-0.1,1.65,100,0.0
2016-01-01T07:00,-0.0,1.00,100,0.0
2016-01-01T08:00,-0.1,0.90,100,4.0
2016-01-01T09:00,0.0,0.76,100,12.0
2016-01-01T10:00,0.3,0.92,100,30.0
2016-01-01T11:00,0.5,1.21,100,32.0
2016-01-01T12:00,0.7,1.39,100,44.0
2016-01-01T13:00,0.7,1.56,100,40.0
2016-01-01T14:00,0.5,1.70,100,23.0
2016-01-01T15:00,0.0,2.00,100,5.0
2016-01-01T16:00,-0.4,2.11,100,0.0
2016-01-01T17:00,-0.8,2.57,100,0.0
2016-01-01T18:00,-1.1,3.01,100,0.0
2016-01-01T19:00,-1.4,3.50,100,0.0
2016-01-01T20:00,-1.8,4.11,100,0.0
2016-01-01T21:00,-2.0,4.44,100,0.0
2016-01-01T22:00,-2.3,5.26,100,0.0
2016-01-01T23:00,-2.5,5.41,99,0.0
2016-01-02T00:00,-2.8,5.87,100,0.0
2016-01-02T01:00,-3.3,5.97,99,0.0
2016-01-02T02:00,-3.9,6.18,97,0.0
2016-01-02T03:00,-4.7,6.76,91,0.0
2016-01-02T04:00,-5.4,7.76,84,0.0
2016-01-02T05:00,-6.3,8.34,62,0.0
2016-01-02T06:00,-7.1,8.65,41,0.0
2016-01-02T07:00,-8.0,9.18,38,0.0
2016-01-02T08:00,-8.3,9.34,20,17.0
2016-01-02T09:00,-8.0,9.08,23,90.0
2016-01-02T10:00,-7.4,8.51,40,163.0
2016-01-02T11:00,-6.7,8.85,65,209.0
2016-01-02T12:00,-6.3,9.02,30,214.0
2016-01-02T13:00,-6.0,10.16,70,173.0
2016-01-02T14:00,-6.1,10.99,67,101.0
2016-01-02T15:00,-6.5,9.82,10,21.0
2016-01-02T16:00,-6.9,10.31,6,0.0
2016-01-02T17:00,-7.3,10.65,3,0.0
2016-01-02T18:00,-7.7,10.70,9,0.0
2016-01-02T19:00,-8.8,10.51,5,0.0
2016-01-02T20:00,-9.1,10.60,11,0.0
2016-01-02T21:00,-9.4,10.55,12,0.0
2016-01-02T22:00,-9.7,9.12,4,0.0
2016-01-02T23:00,-10.0,8.79,11,0.0
2016-01-03T00:00,-10.1,8.83,14,0.0
2016-01-03T01:00,-10.3,8.88,22,0.0
2016-01-03T02:00,-10.4,8.97,21,0.0
2016-01-03T03:00,-10.6,9.05,20,0.0
2016-01-03T04:00,-10.8,9.26,20,0.0
2016-01-03T05:00,-11.0,9.19,33,0.0
2016-01-03T06:00,-11.1,9.15,47,0.0
2016-01-03T07:00,-11.9,9.01,46,0.0
2016-01-03T08:00,-11.8,8.73,62,20.0
2016-01-03T09:00,-11.1,8.79,60,100.0
2016-01-03T10:00,-10.3,7.88,82,175.0
2016-01-03T11:00,-9.5,7.75,67,218.0
2016-01-03T12:00,-8.8,7.88,53,220.0
2016-01-03T13:00,-8.4,7.54,3,179.0
2016-01-03T14:00,-8.4,7.75,0,104.0
2016-01-03T15:00,-8.8,8.00,0,23.0
2016-01-03T16:00,-9.2,8.90,0,0.0
2016-01-03T17:00,-9.3,8.95,6,0.0
2016-01-03T18:00,-9.4,8.99,0,0.0
2016-01-03T19:00,-10.5,9.17,0,0.0
2016-01-03T20:00,-10.5,9.18,0,0.0
2016-01-03T21:00,-10.6,9.27,0,0.0
2016-01-03T22:00,-10.7,8.56,6,0.0
2016-01-03T23:00,-10.8,8.92,8,0.0
2016-01-04T00:00,-10.9,9.05,7,0.0
2016-01-04T01:00,-10.9,9.44,10,0.0
2016-01-04T02:00,-10.9,9.42,14,0.0
2016-01-04T03:00,-10.8,9.59,24,0.0
2016-01-04T04:00,-10.7,9.46,39,0.0
2016-01-04T05:00,-10.7,9.71,65,0.0
2016-01-04T06:00,-10.6,10.11,77,0.0
2016-01-04T07:00,-10.6,10.21,87,0.0
2016-01-04T08:00,-10.1,10.67,93,17.0
2016-01-04T09:00,-9.1,9.34,94,84.0
2016-01-04T10:00,-7.7,8.47,87,146.0
2016-01-04T11:00,-6.4,7.87,71,183.0
2016-01-04T12:00,-5.6,7.25,66,176.0
2016-01-04T13:00,-5.1,7.00,65,139.0
2016-01-04T14:00,-5.1,6.65,66,79.0
2016-01-04T15:00,-5.5,7.14,72,19.0
2016-01-04T16:00,-5.8,7.50,74,0.0
2016-01-04T17:00,-6.2,7.60,79,0.0
2016-01-04T18:00,-6.3,7.60,81,0.0
2016-01-04T19:00,-7.8,7.64,80,0.0
2016-01-04T20:00,-7.8,7.61,86,0.0
2016-01-04T21:00,-8.0,7.60,87,0.0
2016-01-04T22:00,-8.4,6.80,73,0.0
2016-01-04T23:00,-8.6,6.91,72,0.0
2016-01-05T00:00,-8.9,7.13,69,0.0
2016-01-05T01:00,-9.2,7.13,78,0.0
2016-01-05T02:00,-9.4,7.11,78,0.0
2016-01-05T03:00,-9.5,7.00,79,0.0
2016-01-05T04:00,-9.5,6.70,85,0.0
2016-01-05T05:00,-9.5,6.55,82,0.0
2016-01-05T06:00,-9.7,6.79,49,0.0
2016-01-05T07:00,-10.7,6.86,43,0.0
2016-01-05T08:00,-10.5,6.43,41,18.0
2016-01-05T09:00,-9.7,5.71,51,86.0
2016-01-05T10:00,-8.6,5.40,98,136.0
2016-01-05T11:00,-7.6,5.10,89,166.0
2016-01-05T12:00,-6.9,5.10,58,164.0
2016-01-05T13:00,-6.4,5.35,60,139.0
2016-01-05T14:00,-6.5,5.47,87,86.0
2016-01-05T15:00,-6.9,5.45,94,18.0
2016-01-05T16:00,-7.0,5.54,100,0.0
2016-01-05T17:00,-6.9,5.54,97,0.0
2016-01-05T18:00,-6.8,5.46,98,0.0
2016-01-05T19:00,-7.5,5.51,100,0.0
2016-01-05T20:00,-7.6,5.41,100,0.0
2016-01-05T21:00,-7.6,5.44,99,0.0
2016-01-05T22:00,-7.7,5.46,98,0.0
2016-01-05T23:00,-7.7,5.10,100,0.0
2016-01-06T00:00,-7.7,5.26,100,0.0
2016-01-06T01:00,-7.6,5.38,100,0.0
2016-01-06T02:00,-7.5,5.15,99,0.0
2016-01-06T03:00,-7.4,4.83,98,0.0
2016-01-06T04:00,-7.3,4.71,100,0.0
