time,temperature_2m (°C),wind_speed_100m (m/s),cloud_cover (%),shortwave_radiation (W/m²)
2016-01-01T00:00,-7.4,0.58,0,0.0
2016-01-01T01:00,-7.9,0.94,0,0.0
2016-01-01T02:00,-7.6,1.06,0,0.0
2016-01-01T03:00,-7.3,0.85,0,0.0
2016-01-01T04:00,-7.7,1.06,0,0.0
2016-01-01T05:00,-7.7,1.75,0,0.0
2016-01-01T06:00,-7.8,1.14,0,0.0
2016-01-01T07:00,-8.2,0.64,0,2.0
2016-01-01T08:00,-7.8,0.72,0,61.0
2016-01-01T09:00,-5.5,0.20,4,156.0
2016-01-01T10:00,-3.8,1.30,5,228.0
2016-01-01T11:00,-3.1,1.50,11,240.0
2016-01-01T12:00,-2.8,1.41,8,244.0
2016-01-01T13:00,-2.8,1.84,27,192.0
2016-01-01T14:00,-3.4,3.01,26,102.0
2016-01-01T15:00,-5.0,4.52,9,17.0
2016-01-01T16:00,-6.1,5.57,2,0.0
2016-01-01T17:00,-6.8,6.02,3,0.0
2016-01-01T18:00,-7.3,6.00,0,0.0
2016-01-01T19:00,-8.2,6.20,3,0.0
2016-01-01T20:00,-8.8,6.31,1,0.0
2016-01-01T21:00,-9.2,6.00,1,0.0
2016-01-01T22:00,-9.7,5.70,3,0.0
2016-01-01T23:00,-10.1,5.51,3,0.0
2016-01-02T00:00,-10.4,5.91,4,0.0
2016-01-02T01:00,-10.7,6.20,5,0.0
2016-01-02T02:00,-10.8,6.20,3,0.0
2016-01-02T03:00,-11.0,6.50,2,0.0
2016-01-02T04:00,-11.0,6.90,4,0.0
2016-01-02T05:00,-11.0,7.20,13,0.0
2016-01-02T06:00,-11.0,7.30,18,0.0
2016-01-02T07:00,-11.7,7.31,19,2.0
2016-01-02T08:00,-10.8,7.20,11,59.0
2016-01-02T09:00,-9.6,7.62,2,151.0
2016-01-02T10:00,-8.4,6.68,16,224.0
2016-01-02T11:00,-7.4,6.77,48,255.0
2016-01-02T12:00,-6.6,7.06,48,250.0
2016-01-02T13:00,-6.5,7.42,8,194.0
2016-01-02T14:00,-6.9,8.01,14,106.0
2016-01-02T15:00,-8.0,8.41,14,18.0
2016-01-02T16:00,-8.7,8.91,13,0.0
2016-01-02T17:00,-9.3,9.00,10,0.0
2016-01-02T18:00,-9.8,8.90,10,0.0
2016-01-02T19:00,-10.4,8.81,4,0.0
2016-01-02T20:00,-10.8,8.71,1,0.0
2016-01-02T21:00,-11.2,8.51,0,0.0
2016-01-02T22:00,-11.5,7.63,0,0.0
2016-01-02T23:00,-11.8,7.60,1,0.0
2016-01-03T00:00,-12.0,7.80,1,0.0
2016-01-03T01:00,-12.3,7.91,0,0.0
2016-01-03T02:00,-12.5,7.91,1,0.0
2016-01-03T03:00,-12.7,7.60,1,0.0
2016-01-03T04:00,-12.9,7.51,4,0.0
2016-01-03T05:00,-13.1,7.41,10,0.0
2016-01-03T06:00,-13.2,7.31,25,0.0
2016-01-03T07:00,-14.0,7.20,22,2.0
2016-01-03T08:00,-13.2,6.40,21,60.0
2016-01-03T09:00,-11.8,6.20,26,155.0
2016-01-03T10:00,-10.5,5.83,33,231.0
2016-01-03T11:00,-9.3,5.60,37,265.0
2016-01-03T12:00,-8.5,5.80,49,246.0
2016-01-03T13:00,-8.1,6.00,59,192.0
2016-01-03T14:00,-8.5,6.33,41,105.0
2016-01-03T15:00,-9.4,7.17,8,19.0
2016-01-03T16:00,-10.1,7.53,0,0.0
2016-01-03T17:00,-10.5,7.30,0,0.0
2016-01-03T18:00,-10.9,6.81,4,0.0
2016-01-03T19:00,-12.0,6.41,0,0.0
2016-01-03T20:00,-12.3,6.52,0,0.0
2016-01-03T21:00,-12.5,6.34,0,0.0
2016-01-03T22:00,-12.7,5.28,1,0.0
2016-01-03T23:00,-12.8,5.06,0,0.0
2016-01-04T00:00,-12.9,4.92,0,0.0
2016-01-04T01:00,-12.9,4.54,0,0.0
2016-01-04T02:00,-12.9,4.56,0,0.0
2016-01-04T03:00,-12.9,4.40,0,0.0
2016-01-04T04:00,-12.8,3.89,10,0.0
2016-01-04T05:00,-12.6,3.01,27,0.0
2016-01-04T06:00,-12.5,2.88,63,0.0
2016-01-04T07:00,-12.5,3.32,82,2.0
2016-01-04T08:00,-11.2,2.51,95,55.0
2016-01-04T09:00,-9.1,1.04,93,141.0
2016-01-04T10:00,-7.4,1.06,99,195.0
2016-01-04T11:00,-6.0,0.82,100,220.0
2016-01-04T12:00,-5.3,0.36,99,188.0
2016-01-04T13:00,-4.8,1.10,100,135.0
2016-01-04T14:00,-4.8,2.10,100,79.0
2016-01-04T15:00,-5.1,2.67,100,14.0
2016-01-04T16:00,-5.2,3.00,100,0.0
2016-01-04T17:00,-5.4,2.91,100,0.0
2016-01-04T18:00,-5.5,2.73,99,0.0
2016-01-04T19:00,-6.2,2.42,100,0.0
2016-01-04T20:00,-6.3,1.84,93,0.0
2016-01-04T21:00,-6.5,1.42,91,0.0
2016-01-04T22:00,-6.7,1.17,95,0.0
2016-01-04T23:00,-6.7,1.14,97,0.0
2016-01-05T00:00,-7.0,1.30,97,0.0
2016-01-05T01:00,-7.0,1.30,96,0.0
2016-01-05T02:00,-7.1,1.36,98,0.0
2016-01-05T03:00,-7.2,1.52,97,0.0
2016-01-05T04:00,-7.2,1.34,94,0.0
2016-01-05T05:00,-7.2,1.43,96,0.0
2016-01-05T06:00,-7.4,1.71,96,0.0
2016-01-05T07:00,-7.4,1.87,86,1.0
2016-01-05T08:00,-6.9,1.90,92,29.0
2016-01-05T09:00,-6.1,1.84,95,66.0
2016-01-05T10:00,-5.1,1.78,97,90.0
2016-01-05T11:00,-4.4,1.57,97,92.0
2016-01-05T12:00,-3.8,1.58,98,81.0
2016-01-05T13:00,-3.5,2.06,98,57.0
2016-01-05T14:00,-3.3,2.35,97,44.0
2016-01-05T15:00,-3.6,2.26,93,9.0
2016-01-05T16:00,-4.2,2.33,96,0.0
2016-01-05T17:00,-3.9,2.18,97,0.0
2016-01-05T18:00,-3.7,1.58,91,0.0
2016-01-05T19:00,-3.9,1.53,97,0.0
2016-01-05T20:00,-4.0,1.71,100,0.0
2016-01-05T21:00,-4.0,1.72,100,0.0
2016-01-05T22:00,-3.8,1.44,91,0.0
2016-01-05T23:00,-3.6,1.70,77,0.0
2016-01-06T00:00,-4.1,1.71,48,0.0
2016-01-06T01:00,-4.2,1.44,81,0.0
2016-01-06T02:00,-4.6,0.92,92,0.0
2016-01-06T03:00,-4.5,0.60,81,0.0
2016-01-06T04:00,-4.1,0.63,88,0.0
2016-01-06T05:00,-3.6,0.92,96,0.0
2016-01-06T06:00,-3.4,1.12,89,0.0
2016-01-06T07:00,-3.6,1.12,87,1.0
2016-01-06T08:00,-3.0,1.12,60,34.0
2016-01-06T09:00,-1.7,1.26,48,101.0
2016-01-06T10:00,-0.4,1.22,51,181.0
2016-01-06T11:00,0.4,0.51,43,212.0
2016-01-06T12:00,0.8,0.73,52,184.0
2016-01-06T13:00,0.8,1.50,67,164.0
2016-01-06T14:00,0.1,2.41,84,91.0
2016-01-06T15:00,-1.0,3.57,93,16.0
2016-01-06T16:00,-1.9,4.06,98,0.0
2016-01-06T17:00,-2.5,3.65,99,0.0
2016-01-06T18:00,-3.4,3.22,98,0.0
