time,temperature_2m (°C),wind_speed_100m (m/s),cloud_cover (%),shortwave_radiation (W/m²)
2016-01-01T00:00,-2.6,7.43,74,0.0
2016-01-01T01:00,-2.5,6.84,82,0.0
2016-01-01T02:00,-2.4,6.48,93,0.0
2016-01-01T03:00,-2.4,6.18,99,0.0
2016-01-01T04:00,-2.3,5.92,99,0.0
2016-01-01T05:00,-2.3,5.82,100,0.0
2016-01-01T06:00,-2.3,5.89,100,0.0
2016-01-01T07:00,-2.4,5.65,100,0.0
2016-01-01T08:00,-2.4,5.32,100,3.0
2016-01-01T09:00,-2.3,5.10,100,14.0
2016-01-01T10:00,-2.3,4.80,100,21.0
2016-01-01T11:00,-2.3,4.58,99,22.0
2016-01-01T12:00,-2.2,4.58,100,37.0
2016-01-01T13:00,-2.2,4.90,100,33.0
2016-01-01T14:00,-2.3,4.52,100,20.0
2016-01-01T15:00,-2.4,4.58,100,3.0
2016-01-01T16:00,-2.5,5.45,99,0.0
2016-01-01T17:00,-2.8,6.24,99,0.0
2016-01-01T18:00,-3.0,7.01,92,0.0
2016-01-01T19:00,-3.5,7.57,76,0.0
2016-01-01T20:00,-3.8,7.71,65,0.0
2016-01-01T21:00,-4.3,8.06,38,0.0
2016-01-01T22:00,-4.9,8.46,34,0.0
2016-01-01T23:00,-5.6,8.52,8,0.0
2016-01-02T00:00,-6.4,8.49,5,0.0
2016-01-02T01:00,-7.1,8.10,2,0.0
2016-01-02T02:00,-7.7,8.36,5,0.0
2016-01-02T03:00,-8.2,9.31,13,0.0
2016-01-02T04:00,-8.6,9.99,8,0.0
2016-01-02T05:00,-8.8,10.26,5,0.0
2016-01-02T06:00,-8.8,10.15,5,0.0
2016-01-02T07:00,-9.1,10.11,4,0.0
2016-01-02T08:00,-9.0,10.29,5,11.0
2016-01-02T09:00,-8.4,9.90,4,70.0
2016-01-02T10:00,-7.7,10.25,91,131.0
2016-01-02T11:00,-7.1,10.31,97,161.0
2016-01-02T12:00,-6.7,10.43,78,172.0
2016-01-02T13:00,-6.7,10.55,55,128.0
2016-01-02T14:00,-7.1,10.15,9,65.0
2016-01-02T15:00,-7.7,10.26,2,9.0
2016-01-02T16:00,-8.2,10.89,2,0.0
2016-01-02T17:00,-8.7,11.27,2,0.0
2016-01-02T18:00,-9.1,11.27,2,0.0
2016-01-02T19:00,-9.7,11.14,2,0.0
2016-01-02T20:00,-10.0,10.93,2,0.0
2016-01-02T21:00,-10.2,10.66,1,0.0
2016-01-02T22:00,-10.4,10.72,4,0.0
2016-01-02T23:00,-10.6,10.53,4,0.0
2016-01-03T00:00,-10.8,10.79,10,0.0
2016-01-03T01:00,-10.9,10.61,4,0.0
2016-01-03T02:00,-11.1,10.34,3,0.0
2016-01-03T03:00,-11.2,9.98,4,0.0
2016-01-03T04:00,-11.3,9.62,3,0.0
2016-01-03T05:00,-11.4,9.71,3,0.0
2016-01-03T06:00,-11.6,9.58,4,0.0
2016-01-03T07:00,-12.0,9.47,4,0.0
2016-01-03T08:00,-11.9,9.43,2,11.0
2016-01-03T09:00,-11.3,8.54,4,75.0
2016-01-03T10:00,-10.3,8.68,9,139.0
2016-01-03T11:00,-9.3,8.55,3,184.0
2016-01-03T12:00,-8.5,8.05,1,184.0
2016-01-03T13:00,-8.1,7.61,0,146.0
2016-01-03T14:00,-8.3,7.60,0,77.0
2016-01-03T15:00,-8.9,8.59,1,11.0
2016-01-03T16:00,-9.4,9.12,2,0.0
2016-01-03T17:00,-9.8,9.40,1,0.0
2016-01-03T18:00,-10.1,9.62,2,0.0
2016-01-03T19:00,-10.5,9.65,2,0.0
2016-01-03T20:00,-10.6,9.64,1,0.0
2016-01-03T21:00,-10.8,9.41,2,0.0
2016-01-03T22:00,-10.8,9.13,4,0.0
2016-01-03T23:00,-10.9,9.18,4,0.0
2016-01-04T00:00,-11.0,9.27,6,0.0
2016-01-04T01:00,-11.1,9.54,18,0.0
2016-01-04T02:00,-11.2,9.63,18,0.0
2016-01-04T03:00,-11.1,9.87,11,0.0
2016-01-04T04:00,-11.1,10.05,4,0.0
2016-01-04T05:00,-11.1,10.12,4,0.0
2016-01-04T06:00,-11.0,9.72,3,0.0
2016-01-04T07:00,-11.5,9.74,3,0.0
2016-01-04T08:00,-11.3,10.10,3,11.0
2016-01-04T09:00,-10.5,9.62,2,78.0
2016-01-04T10:00,-9.5,9.89,1,145.0
2016-01-04T11:00,-8.4,9.69,0,184.0
2016-01-04T12:00,-7.7,9.21,0,186.0
2016-01-04T13:00,-7.3,8.80,0,143.0
2016-01-04T14:00,-7.5,8.75,0,78.0
2016-01-04T15:00,-8.2,8.75,0,11.0
2016-01-04T16:00,-8.7,8.84,0,0.0
2016-01-04T17:00,-9.1,8.91,0,0.0
2016-01-04T18:00,-9.4,8.90,4,0.0
2016-01-04T19:00,-9.9,8.72,26,0.0
2016-01-04T20:00,-10.2,8.27,48,0.0
2016-01-04T21:00,-10.4,7.87,71,0.0
2016-01-04T22:00,-10.5,7.43,58,0.0
2016-01-04T23:00,-10.6,7.68,57,0.0
2016-01-05T00:00,-10.8,7.41,58,0.0
2016-01-05T01:00,-10.9,7.13,55,0.0
2016-01-05T02:00,-11.0,7.00,15,0.0
2016-01-05T03:00,-11.1,6.74,4,0.0
2016-01-05T04:00,-11.1,6.61,14,0.0
2016-01-05T05:00,-11.1,6.37,61,0.0
2016-01-05T06:00,-11.1,6.13,71,0.0
2016-01-05T07:00,-11.5,5.95,64,0.0
2016-01-05T08:00,-11.2,6.05,51,11.0
2016-01-05T09:00,-10.4,5.29,33,74.0
2016-01-05T10:00,-9.1,4.89,29,141.0
2016-01-05T11:00,-7.9,4.30,34,179.0
2016-01-05T12:00,-7.1,4.12,66,182.0
2016-01-05T13:00,-6.7,4.39,61,142.0
2016-01-05T14:00,-7.0,4.44,75,78.0
2016-01-05T15:00,-7.8,4.84,56,12.0
2016-01-05T16:00,-8.5,5.47,18,0.0
2016-01-05T17:00,-9.1,5.82,2,0.0
2016-01-05T18:00,-9.7,6.21,3,0.0
2016-01-05T19:00,-10.2,6.29,2,0.0
2016-01-05T20:00,-10.7,6.20,4,0.0
2016-01-05T21:00,-11.0,5.99,1,0.0
2016-01-05T22:00,-11.3,5.90,0,0.0
2016-01-05T23:00,-11.5,5.77,0,0.0
2016-01-06T00:00,-11.7,5.89,0,0.0
2016-01-06T01:00,-11.9,6.33,1,0.0
2016-01-06T02:00,-12.0,6.51,0,0.0
2016-01-06T03:00,-12.1,6.59,1,0.0
2016-01-06T04:00,-12.2,6.71,1,0.0
2016-01-06T05:00,-12.2,6.96,3,0.0
2016-01-06T06:00,-12.1,6.96,2,0.0
2016-01-06T07:00,-11.9,6.87,4,0.0
2016-01-06T08:00,-11.6,7.02,1,12.0
2016-01-06T09:00,-10.5,6.92,1,80.0
2016-01-06T10:00,-9.0,6.23,0,152.0
2016-01-06T11:00,-7.6,5.91,0,194.0
2016-01-06T12:00,-6.7,5.52,0,194.0
2016-01-06T13:00,-6.2,5.20,0,153.0
2016-01-06T14:00,-6.5,5.63,0,82.0
2016-01-06T15:00,-7.3,6.53,0,13.0
2016-01-06T16:00,-7.9,7.16,0,0.0
2016-01-06T17:00,-8.4,7.34,4,0.0
2016-01-06T18:00,-8.7,7.30,8,0.0
2016-01-06T19:00,-9.0,7.10,14,0.0
2016-01-06T20:00,-9.0,7.20,5,0.0
2016-01-06T21:00,-9.0,7.30,4,0.0
2016-01-06T22:00,-8.9,7.00,9,0.0
2016-01-06T23:00,-9.0,7.01,15,0.0
2016-01-07T00:00,-9.1,7.03,27,0.0
2016-01-07T01:00,-9.1,7.24,43,0.0
2016-01-07T02:00,-9.3,7.34,52,0.0
2016-01-07T03:00,-9.4,7.43,60,0.0
2016-01-07T04:00,-9.5,7.53,61,0.0
2016-01-07T05:00,-9.3,7.43,57,0.0
2016-01-07T06:00,-9.1,7.53,63,0.0
2016-01-07T07:00,-8.9,7.62,71,0.0
2016-01-07T08:00,-8.4,7.92,79,9.0
2016-01-07T09:00,-7.7,7.82,75,49.0
2016-01-07T10:00,-6.8,7.54,92,91.0
2016-01-07T11:00,-6.3,7.98,90,118.0
2016-01-07T12:00,-5.9,8.29,86,97.0
2016-01-07T13:00,-5.6,8.43,84,94.0
2016-01-07T14:00,-5.7,7.93,78,50.0
2016-01-07T15:00,-6.1,7.56,80,8.0
2016-01-07T16:00,-6.3,8.41,77,0.0
2016-01-07T17:00,-6.6,9.18,67,0.0
2016-01-07T18:00,-6.8,9.30,64,0.0
2016-01-07T19:00,-7.4,9.44,61,0.0
2016-01-07T20:00,-7.2,9.42,51,0.0
2016-01-07T21:00,-7.0,10.05,46,0.0
2016-01-07T22:00,-6.7,9.55,71,0.0
2016-01-07T23:00,-6.2,9.56,81,0.0
2016-01-08T00:00,-5.7,10.39,91,0.0
2016-01-08T01:00,-5.3,10.75,100,0.0
2016-01-08T02:00,-5.1,11.11,100,0.0
2016-01-08T03:00,-4.6,11.10,100,0.0
2016-01-08T04:00,-4.1,11.49,100,0.0
2016-01-08T05:00,-3.9,11.64,100,0.0
2016-01-08T06:00,-3.5,11.95,100,0.0
2016-01-08T07:00,-3.4,12.01,100,0.0
2016-01-08T08:00,-3.2,11.58,100,4.0
2016-01-08T09:00,-2.8,11.05,100,20.0
2016-01-08T10:00,-2.6,9.44,100,30.0
2016-01-08T11:00,-1.9,8.52,100,48.0
2016-01-08T12:00,-0.8,7.78,100,50.0
2016-01-08T13:00,0.4,7.07,100,29.0
2016-01-08T14:00,1.4,7.19,100,18.0
2016-01-08T15:00,1.2,7.65,100,3.0
2016-01-08T16:00,1.0,7.87,100,0.0
2016-01-08T17:00,0.9,7.99,100,0.0
2016-01-08T18:00,0.9,7.93,100,0.0
2016-01-08T19:00,1.0,7.80,100,0.0
2016-01-08T20:00,1.0,7.86,100,0.0
2016-01-08T21:00,1.1,7.57,99,0.0
2016-01-08T22:00,1.2,7.96,92,0.0
2016-01-08T23:00,1.3,8.46,97,0.0
2016-01-09T00:00,1.6,9.53,83,0.0
2016-01-09T01:00,1.6,10.50,93,0.0
2016-01-09T02:00,1.5,10.30,98,0.0
2016-01-09T03:00,1.4,9.52,99,0.0
2016-01-09T04:00,1.2,8.67,89,0.0
2016-01-09T05:00,0.9,7.60,88,0.0
2016-01-09T06:00,0.6,6.82,80,0.0
2016-01-09T07:00,0.4,6.58,66,0.0
2016-01-09T08:00,-0.3,6.04,56,9.0
2016-01-09T09:00,-0.3,5.81,36,66.0
2016-01-09T10:00,0.3,5.44,31,130.0
2016-01-09T11:00,0.9,5.10,27,164.0
2016-01-09T12:00,1.3,4.88,40,161.0
2016-01-09T13:00,1.6,5.07,67,123.0
2016-01-09T14:00,1.1,5.57,83,71.0
2016-01-09T15:00,0.3,6.02,98,12.0
2016-01-09T16:00,-0.2,6.11,95,0.0
2016-01-09T17:00,-0.5,6.11,89,0.0
2016-01-09T18:00,-0.5,6.58,79,0.0
2016-01-09T19:00,-0.7,6.85,36,0.0
2016-01-09T20:00,-0.7,7.46,37,0.0
2016-01-09T21:00,-0.8,8.82,57,0.0
2016-01-09T22:00,-0.8,9.06,88,0.0
2016-01-09T23:00,-1.0,8.99,100,0.0
2016-01-10T00:00,-1.0,9.04,98,0.0
2016-01-10T01:00,-1.4,9.36,98,0.0
2016-01-10T02:00,-1.6,9.32,96,0.0
2016-01-10T03:00,-1.4,9.14,90,0.0
2016-01-10T04:00,-1.4,9.62,71,0.0
