time,temperature_2m (°C),wind_speed_100m (m/s),cloud_cover (%),shortwave_radiation (W/m²)
2016-01-01T00:00,-7.0,6.37,0,0.0
2016-01-01T01:00,-7.3,6.09,0,0.0
2016-01-01T02:00,-7.5,5.94,0,0.0
2016-01-01T03:00,-7.7,5.90,0,0.0
2016-01-01T04:00,-7.9,6.19,0,0.0
2016-01-01T05:00,-8.1,6.16,0,0.0
2016-01-01T06:00,-8.4,5.92,0,0.0
2016-01-01T07:00,-8.9,6.22,2,0.0
2016-01-01T08:00,-8.6,6.20,2,38.0
2016-01-01T09:00,-8.0,5.63,0,118.0
2016-01-01T10:00,-7.2,5.79,1,187.0
2016-01-01T11:00,-6.5,5.79,0,215.0
2016-01-01T12:00,-6.1,5.35,0,202.0
2016-01-01T13:00,-6.1,5.22,0,150.0
2016-01-01T14:00,-6.6,5.60,1,71.0
2016-01-01T15:00,-7.4,6.82,4,6.0
2016-01-01T16:00,-7.8,7.21,10,0.0
2016-01-01T17:00,-8.2,7.21,10,0.0
2016-01-01T18:00,-8.4,7.04,3,0.0
2016-01-01T19:00,-9.1,6.99,1,0.0
2016-01-01T20:00,-9.2,6.94,0,0.0
2016-01-01T21:00,-9.2,6.57,0,0.0
2016-01-01T22:00,-9.2,5.55,0,0.0
2016-01-01T23:00,-9.3,5.37,0,0.0
2016-01-02T00:00,-9.4,5.59,1,0.0
2016-01-02T01:00,-9.4,5.95,0,0.0
2016-01-02T02:00,-9.3,6.43,3,0.0
2016-01-02T03:00,-9.3,6.67,8,0.0
2016-01-02T04:00,-9.1,7.18,7,0.0
2016-01-02T05:00,-9.2,7.62,4,0.0
2016-01-02T06:00,-9.3,8.10,2,0.0
2016-01-02T07:00,-10.2,8.47,2,0.0
2016-01-02T08:00,-10.3,8.14,2,39.0
2016-01-02T09:00,-10.0,8.85,9,118.0
2016-01-02T10:00,-9.7,8.45,85,173.0
2016-01-02T11:00,-9.4,8.85,99,209.0
2016-01-02T12:00,-9.1,8.85,51,202.0
2016-01-02T13:00,-9.2,8.85,17,146.0
2016-01-02T14:00,-9.6,8.66,0,72.0
2016-01-02T15:00,-10.1,8.63,0,6.0
2016-01-02T16:00,-10.4,8.95,0,0.0
2016-01-02T17:00,-10.7,8.97,0,0.0
2016-01-02T18:00,-11.0,8.70,0,0.0
2016-01-02T19:00,-11.7,8.34,0,0.0
2016-01-02T20:00,-11.9,8.06,0,0.0
2016-01-02T21:00,-12.1,7.84,0,0.0
2016-01-02T22:00,-12.2,6.99,0,0.0
2016-01-02T23:00,-12.4,6.94,0,0.0
2016-01-03T00:00,-12.5,6.82,0,0.0
2016-01-03T01:00,-12.7,6.61,0,0.0
2016-01-03T02:00,-12.8,6.61,0,0.0
2016-01-03T03:00,-12.9,6.40,0,0.0
2016-01-03T04:00,-13.0,6.50,0,0.0
2016-01-03T05:00,-13.1,6.31,0,0.0
2016-01-03T06:00,-13.2,6.03,0,0.0
2016-01-03T07:00,-13.9,5.74,0,0.0
2016-01-03T08:00,-13.4,5.53,0,40.0
2016-01-03T09:00,-12.4,5.15,0,123.0
2016-01-03T10:00,-11.5,4.66,15,189.0
2016-01-03T11:00,-10.7,4.55,0,218.0
2016-01-03T12:00,-10.1,4.67,0,205.0
2016-01-03T13:00,-9.8,5.32,0,153.0
2016-01-03T14:00,-10.0,5.53,0,74.0
2016-01-03T15:00,-10.5,5.38,0,7.0
2016-01-03T16:00,-10.8,5.48,2,0.0
2016-01-03T17:00,-11.0,5.61,15,0.0
2016-01-03T18:00,-11.1,5.64,0,0.0
2016-01-03T19:00,-12.2,5.64,0,0.0
2016-01-03T20:00,-12.4,5.87,0,0.0
2016-01-03T21:00,-12.4,6.09,0,0.0
2016-01-03T22:00,-12.5,6.80,1,0.0
2016-01-03T23:00,-12.5,7.20,4,0.0
2016-01-04T00:00,-12.5,7.29,1,0.0
2016-01-04T01:00,-12.6,7.42,1,0.0
2016-01-04T02:00,-12.6,7.65,0,0.0
2016-01-04T03:00,-12.7,7.60,0,0.0
2016-01-04T04:00,-12.8,7.76,0,0.0
2016-01-04T05:00,-12.8,7.53,0,0.0
2016-01-04T06:00,-12.9,7.58,0,0.0
2016-01-04T07:00,-13.6,7.24,3,0.0
2016-01-04T08:00,-13.2,6.76,7,41.0
2016-01-04T09:00,-12.2,6.82,7,124.0
2016-01-04T10:00,-11.2,6.48,5,190.0
2016-01-04T11:00,-10.2,6.53,3,222.0
2016-01-04T12:00,-9.5,6.63,1,210.0
2016-01-04T13:00,-9.3,6.58,1,158.0
2016-01-04T14:00,-9.5,6.41,0,76.0
2016-01-04T15:00,-10.1,6.45,0,8.0
2016-01-04T16:00,-10.5,6.57,0,0.0
2016-01-04T17:00,-10.9,6.63,0,0.0
2016-01-04T18:00,-11.2,6.66,0,0.0
2016-01-04T19:00,-12.1,6.71,0,0.0
2016-01-04T20:00,-12.4,6.61,0,0.0
2016-01-04T21:00,-12.6,6.33,1,0.0
2016-01-04T22:00,-12.7,6.10,0,0.0
2016-01-04T23:00,-12.8,6.00,0,0.0
2016-01-05T00:00,-12.9,5.71,0,0.0
2016-01-05T01:00,-13.0,5.30,0,0.0
2016-01-05T02:00,-13.1,5.51,0,0.0
2016-01-05T03:00,-13.2,5.73,1,0.0
2016-01-05T04:00,-13.3,5.64,2,0.0
